,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Marshall Faulk,25,IND,RB,16,15,106,86,908,10.6,4,44,59.4,78,5.4,56.8,81.1,8.6,324,1319,6,62,43.2,68,4.1,82.4,20.3,410,5.4,2227,10,3,"PB,AP-2,AP OPoY-4"
2,Terrell Davis,26,DEN,RB,16,16,38,25,217,8.7,2,12,47.4,35,1.6,13.6,65.8,5.7,392,2008,21,100,50.3,70,5.1,125.5,24.5,417,5.3,2225,23,2,"PB,AP-1,AP MVP-1,AP OPoY-1"
3,Jamal Anderson,26,ATL,RB,16,16,46,27,319,11.8,2,13,47.8,27,1.7,19.9,58.7,6.9,410,1846,14,90,48.3,48,4.5,115.4,25.6,437,5.0,2165,16,5,"PB,AP-1,AP MVP-3,AP OPoY-4"
4,Garrison Hearst,27,SFO,RB,16,16,56,39,535,13.7,2,14,39.3,81,2.4,33.4,69.6,9.6,310,1570,7,70,50.3,96,5.1,98.1,19.4,349,6.0,2105,9,4,PB
5,Barry Sanders,30,DET,RB,16,16,57,37,289,7.8,0,10,31.6,44,2.3,18.1,64.9,5.1,343,1491,4,63,38.8,73,4.3,93.2,21.4,380,4.7,1780,4,3,"PB,AP-2"
6,Curtis Martin,25,NYJ,RB,15,15,57,43,365,8.5,1,17,50.9,23,2.9,24.3,75.4,6.4,369,1287,8,69,43.4,60,3.5,85.8,24.6,412,4.0,1652,9,5,PB
7,Fred Taylor,22,JAX,RB,15,12,53,44,421,9.6,3,16,41.5,78,2.9,28.1,83.0,7.9,264,1223,14,58,40.9,77,4.6,81.5,17.6,308,5.3,1644,17,3,AP ORoY-3
8,Ricky Watters,29,SEA,RB,16,16,73,52,373,7.2,0,15,41.1,24,3.3,23.3,71.2,5.1,319,1239,9,73,45.5,39,3.9,77.4,19.9,371,4.3,1612,9,4,
9,Eddie George,25,TEN,RB,16,16,49,37,310,8.4,1,17,49.0,29,2.3,19.4,75.5,6.3,348,1294,5,72,39.7,37,3.7,80.9,21.8,385,4.2,1604,6,7,PB
10,Emmitt Smith,29,DAL,RB,16,16,32,27,175,6.5,2,8,62.5,24,1.7,10.9,84.4,5.5,319,1332,13,89,52.7,32,4.2,83.3,19.9,346,4.4,1507,15,3,PB
11,Duce Staley,23,PHI,RB,16,13,70,57,432,7.6,1,18,38.6,33,3.6,27.0,81.4,6.2,258,1065,5,53,45.0,64,4.1,66.6,16.1,315,4.8,1497,6,2,
12,Robert Smith,26,MIN,RB,14,14,35,28,291,10.4,2,12,57.1,67,2.0,20.8,80.0,8.3,249,1187,6,46,40.6,74,4.8,84.8,17.8,277,5.3,1478,8,1,PB
13,Robert Edwards,24,NWE,RB,16,15,52,35,331,9.5,3,13,40.4,46,2.2,20.7,67.3,6.4,291,1115,9,49,46.0,53,3.8,69.7,18.2,326,4.4,1446,12,5,
14,Antonio Freeman,26,GNB,WR,15,15,153,84,1424,17.0,14,59,49.7,84,5.6,94.9,54.9,9.3,3,5,0,1,33.3,10,1.7,0.3,0.2,87,16.4,1429,14,0,"PB,AP-1"
15,Warrick Dunn,23,TAM,RB,16,14,57,44,344,7.8,0,22,50.9,31,2.8,21.5,77.2,6.0,245,1026,2,42,39.2,50,4.2,64.1,15.3,289,4.7,1370,2,1,
16,Eric Moulds,25,BUF,WR,16,15,116,67,1368,20.4,9,54,54.3,84,4.2,85.5,57.8,11.8,0,0,0,0,,,,0.0,0.0,67,20.4,1368,9,0,"PB,AP-2"
17,Randy Moss,21,MIN,WR,16,11,125,69,1313,19.0,17,51,51.2,61,4.3,82.1,55.2,10.5,1,4,0,0,100.0,4,4.0,0.3,0.1,70,18.8,1317,17,2,"PB,AP-1,AP MVP-3,AP OPoY-3,AP ORoY-1"
18,Corey Dillon,24,CIN,RB,15,15,43,28,178,6.4,1,4,32.6,41,1.9,11.9,65.1,4.1,262,1130,4,56,44.3,66,4.3,75.3,17.5,290,4.5,1308,5,2,
19,Rod Smith,28,DEN,WR,16,16,139,86,1222,14.2,6,60,58.3,58,5.4,76.4,61.9,8.8,6,63,0,3,83.3,37,10.5,3.9,0.4,92,14.0,1285,6,0,
20,Jerome Bettis,26,PIT,RB,15,15,23,16,90,5.6,0,2,43.5,26,1.1,6.0,69.6,3.9,316,1185,3,58,42.1,42,3.8,79.0,21.1,332,3.8,1275,3,2,
21,Priest Holmes,25,BAL,RB,16,13,62,43,260,6.0,0,10,29.0,25,2.7,16.3,69.4,4.2,233,1008,7,54,44.6,56,4.3,63.0,14.6,276,4.6,1268,7,3,
22,Adrian Murrell,28,ARI,RB,15,14,27,18,169,9.4,2,7,44.4,30,1.2,11.3,66.7,6.3,274,1042,8,43,39.1,32,3.8,69.5,18.3,292,4.1,1211,10,6,
23,Keyshawn Johnson,26,NYJ,WR,16,16,150,83,1131,13.6,10,60,50.0,41,5.2,70.7,55.3,7.5,2,60,1,2,100.0,35,30.0,3.8,0.1,85,14.0,1191,11,0,PB
24,Jimmy Smith,29,JAX,WR,16,15,134,78,1182,15.2,8,50,53.7,72,4.9,73.9,58.2,8.8,0,0,0,0,,,,0.0,0.0,78,15.2,1182,8,2,"PB,AP-2"
25,Tony Martin,33,ATL,WR,16,16,133,66,1181,17.9,6,56,47.4,62,4.1,73.8,49.6,8.9,0,0,0,0,,,,0.0,0.0,66,17.9,1181,6,0,
26,Jerry Rice,36,SFO,WR,16,16,151,82,1157,14.1,9,55,49.0,75,5.1,72.3,54.3,7.7,0,0,0,0,,,,0.0,0.0,82,14.1,1157,9,2,"PB,AP CPoY-4"
27,Terrell Owens,25,SFO,WR,16,10,104,67,1097,16.4,14,52,58.7,79,4.2,68.6,64.4,10.5,4,53,1,3,75.0,21,13.3,3.3,0.3,71,16.2,1150,15,1,
28,Frank Sanders,25,ARI,WR,16,16,144,89,1145,12.9,3,57,54.2,42,5.6,71.6,61.8,8.0,4,0,0,0,50.0,,0.0,0.0,0.3,93,12.3,1145,3,3,
29,Antowain Smith,26,BUF,RB,16,14,11,5,11,2.2,0,0,27.3,9,0.3,0.7,45.5,1.0,300,1124,8,60,45.7,30,3.7,70.3,18.8,305,3.7,1135,8,5,
30,Terance Mathis,31,ATL,WR,16,16,113,64,1136,17.8,11,54,51.3,78,4.0,71.0,56.6,10.1,1,-6,0,0,0.0,-6,-6.0,-0.4,0.1,65,17.4,1130,11,0,
