,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Tiki Barber,29,NYG,RB,16,14,79,52,578,11.1,2,20,45.6,62,3.3,36.1,65.8,7.3,322,1518,13,82,47.2,72,4.7,94.9,20.1,374,5.6,2096,15,5,PB
2,Edgerrin James,26,IND,RB,16,16,60,51,483,9.5,0,20,56.7,56,3.2,30.2,85.0,8.1,334,1548,9,78,56.0,40,4.6,96.8,20.9,385,5.3,2031,9,6,"PB,AP-2"
3,Curtis Martin,31,NYJ,RB,16,16,49,41,245,6.0,2,12,44.9,22,2.6,15.3,83.7,5.0,371,1697,12,93,52.6,25,4.6,106.1,23.2,412,4.7,1942,14,2,"PB,AP-1,AP OPoY-4"
4,Shaun Alexander,27,SEA,RB,16,16,38,23,170,7.4,4,9,39.5,24,1.4,10.6,60.5,4.5,353,1696,16,78,44.8,44,4.8,106.0,22.1,376,5.0,1866,20,5,"PB,AP-2"
5,LaDainian Tomlinson,25,SDG,RB,15,15,66,53,441,8.3,1,16,40.9,74,3.5,29.4,80.3,6.7,339,1335,17,74,43.4,42,3.9,89.0,22.6,392,4.5,1776,18,6,"PB,AP-1,AP OPoY-5"
6,Domanick Williams,24,HOU,RB,15,15,84,68,588,8.6,1,27,59.5,38,4.5,39.2,81.0,7.0,302,1188,13,57,42.7,44,3.9,79.2,20.1,370,4.8,1776,14,4,
7,Corey Dillon,30,NWE,RB,15,14,21,15,103,6.9,1,3,52.4,20,1.0,6.9,71.4,4.9,345,1635,12,84,53.0,44,4.7,109.0,23.0,360,4.8,1738,13,5,"PB,AP CPoY-5"
8,Fred Taylor,28,JAX,RB,14,14,58,36,345,9.6,1,18,41.4,64,2.6,24.6,62.1,5.9,260,1224,2,49,42.7,46,4.7,87.4,18.6,296,5.3,1569,3,3,
9,Clinton Portis,23,WAS,RB,15,15,57,40,235,5.9,2,10,36.8,18,2.7,15.7,70.2,4.1,343,1315,5,67,44.3,64,3.8,87.7,22.9,383,4.0,1550,7,5,
10,Rudi Johnson,25,CIN,RB,16,16,28,15,84,5.6,0,2,17.9,30,0.9,5.3,53.6,3.0,361,1454,12,74,46.0,52,4.0,90.9,22.6,376,4.1,1538,12,4,PB
11,Brian Westbrook,25,PHI,RB,13,12,87,73,703,9.6,6,30,50.6,50,5.6,54.1,83.9,8.1,177,812,3,41,41.8,50,4.6,62.5,13.6,250,6.1,1515,9,1,PB
12,Reuben Droughns,26,DEN,RB,16,15,44,32,241,7.5,2,14,47.7,23,2.0,15.1,72.7,5.5,275,1240,6,72,49.1,51,4.5,77.5,17.2,307,4.8,1481,8,5,
13,Ahman Green,27,GNB,RB,15,15,51,40,275,6.9,1,18,45.1,48,2.7,18.3,78.4,5.4,259,1163,7,58,49.8,90,4.5,77.5,17.3,299,4.8,1438,8,7,PB
14,Muhsin Muhammad,31,CAR,WR,16,16,160,93,1405,15.1,16,74,55.6,51,5.8,87.8,58.1,8.8,3,15,0,1,33.3,13,5.0,0.9,0.2,96,14.8,1420,16,3,"PB,AP-1"
15,Warrick Dunn,29,ATL,RB,16,16,39,29,294,10.1,0,9,43.6,59,1.8,18.4,74.4,7.5,265,1106,9,47,41.1,60,4.2,69.1,16.6,294,4.8,1400,9,3,
16,Joe Horn,32,NOR,WR,16,16,153,94,1399,14.9,11,73,54.2,57,5.9,87.4,61.4,9.1,0,0,0,0,,,,0.0,0.0,94,14.9,1399,11,0,PB
17,Javon Walker,26,GNB,WR,16,12,144,89,1382,15.5,12,63,54.2,79,5.6,86.4,61.8,9.6,0,0,0,0,,,,0.0,0.0,89,15.5,1382,12,2,PB
18,Thomas Jones,26,CHI,RB,14,14,72,56,427,7.6,0,17,41.7,45,4.0,30.5,77.8,5.9,240,948,7,49,45.8,54,4.0,67.7,17.1,296,4.6,1375,7,2,
19,Torry Holt,28,STL,WR,16,16,135,94,1372,14.6,10,59,57.0,75,5.9,85.8,69.6,10.2,0,0,0,0,,,,0.0,0.0,94,14.6,1372,10,3,PB
20,Michael Pittman,29,TAM,RB,13,13,65,41,391,9.5,3,13,40.0,68,3.2,30.1,63.1,6.0,219,926,7,41,41.1,78,4.2,71.2,16.8,260,5.1,1317,10,6,
21,Chad Johnson,26,CIN,WR,16,16,170,95,1274,13.4,9,63,50.0,53,5.9,79.6,55.9,7.5,4,39,0,1,75.0,18,9.8,2.4,0.3,99,13.3,1313,9,1,PB
22,Kevin Jones,22,DET,RB,15,14,41,28,180,6.4,1,8,46.3,34,1.9,12.0,68.3,4.4,241,1133,5,59,46.9,74,4.7,75.5,16.1,269,4.9,1313,6,2,
23,Deuce McAllister,26,NOR,RB,14,14,48,34,228,6.7,0,5,27.1,20,2.4,16.3,70.8,4.8,269,1074,9,54,40.9,71,4.0,76.7,19.2,303,4.3,1302,9,5,
24,Willis McGahee,23,BUF,RB,16,11,36,22,169,7.7,0,8,38.9,16,1.4,10.6,61.1,4.7,284,1128,13,65,45.1,41,4.0,70.5,17.8,306,4.2,1297,13,4,AP CPoY-3
25,Isaac Bruce,32,STL,WR,16,16,148,89,1292,14.5,6,64,54.1,56,5.6,80.8,60.1,8.7,0,0,0,0,,,,0.0,0.0,89,14.5,1292,6,5,
26,Tony Gonzalez,28,KAN,TE,16,16,148,102,1258,12.3,7,70,60.8,32,6.4,78.6,68.9,8.5,1,5,0,0,100.0,5,5.0,0.3,0.1,103,12.3,1263,7,0,"PB,AP-2"
27,Drew Bennett,26,TEN,WR,16,16,144,80,1247,15.6,11,62,51.4,48,5.0,77.9,55.6,8.7,1,12,0,1,100.0,12,12.0,0.8,0.1,81,15.5,1259,11,3,
28,Michael Clayton,22,TAM,WR,16,13,122,80,1193,14.9,7,56,61.5,75,5.0,74.6,65.6,9.8,5,30,0,3,80.0,15,6.0,1.9,0.3,85,14.4,1223,7,1,
29,Nick Goings,26,CAR,RB,16,8,61,45,394,8.8,1,17,50.8,37,2.8,24.6,73.8,6.5,217,821,6,42,41.9,57,3.8,51.3,13.6,262,4.6,1215,7,1,
30,Chris Brown,23,TEN,RB,11,11,33,20,147,7.4,0,6,39.4,21,1.8,13.4,60.6,4.5,220,1067,6,40,43.2,52,4.9,97.0,20.0,240,5.1,1214,6,6,
31,Donald Driver,29,GNB,WR,16,11,137,84,1208,14.4,9,61,56.2,50,5.3,75.5,61.3,8.8,3,4,0,0,33.3,14,1.3,0.3,0.2,87,13.9,1212,9,2,
32,Reggie Wayne,26,IND,WR,16,16,115,77,1210,15.7,12,59,62.6,71,4.8,75.6,67.0,10.5,1,-4,0,0,0.0,-4,-4.0,-0.3,0.1,78,15.5,1206,12,0,
33,Darrell Jackson,26,SEA,WR,16,16,156,87,1199,13.8,7,59,51.3,56,5.4,74.9,55.8,7.7,0,0,0,0,,,,0.0,0.0,87,13.8,1199,7,2,
34,Terrell Owens,31,PHI,WR,14,14,127,77,1200,15.6,14,51,55.1,59,5.5,85.7,60.6,9.4,3,-5,0,1,33.3,6,-1.7,-0.4,0.2,80,14.9,1195,14,2,"PB,AP-1,AP OPoY-2"
35,Rod Smith,34,DEN,WR,16,16,136,79,1144,14.5,7,52,53.7,85,4.9,71.5,58.1,8.4,5,33,0,2,80.0,14,6.6,2.1,0.3,84,14.0,1177,7,4,
36,Jimmy Smith,35,JAX,WR,16,16,137,74,1172,15.8,6,52,49.6,65,4.6,73.3,54.0,8.6,0,0,0,0,,,,0.0,0.0,74,15.8,1172,6,2,
37,Derrick Mason,30,TEN,WR,16,16,158,96,1168,12.2,7,67,55.1,37,6.0,73.0,60.8,7.4,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,97,12.0,1165,7,2,
38,Andre Johnson,23,HOU,WR,16,16,138,79,1142,14.5,6,53,51.4,54,4.9,71.4,57.2,8.3,4,12,0,2,50.0,14,3.0,0.8,0.3,83,13.9,1154,6,1,PB
39,Jamal Lewis,25,BAL,RB,12,12,12,10,116,11.6,0,5,50.0,46,0.8,9.7,83.3,9.7,235,1006,7,51,45.1,75,4.3,83.8,19.6,245,4.6,1122,7,2,
40,Marvin Harrison,32,IND,WR,16,16,139,86,1113,12.9,15,63,54.7,59,5.4,69.6,61.9,8.0,0,0,0,0,,,,0.0,0.0,86,12.9,1113,15,1,"PB,AP-2"
41,Eddie Kennison,31,KAN,WR,14,14,106,62,1086,17.5,8,47,53.8,70,4.4,77.6,58.5,10.2,2,15,0,1,50.0,15,7.5,1.1,0.1,64,17.2,1101,8,1,
42,Ashley Lelie,24,DEN,WR,16,16,101,54,1084,20.1,7,40,49.5,58,3.4,67.8,53.5,10.7,3,5,0,0,33.3,8,1.7,0.3,0.2,57,19.1,1089,7,0,
43,Marshall Faulk,31,STL,RB,14,14,65,50,310,6.2,1,12,40.0,25,3.6,22.1,76.9,4.8,195,774,3,46,46.2,40,4.0,55.3,13.9,245,4.4,1084,4,2,
44,Priest Holmes,31,KAN,RB,8,8,25,19,187,9.8,1,8,36.0,52,2.4,23.4,76.0,7.5,196,892,14,59,53.1,33,4.6,111.5,24.5,215,5.0,1079,15,4,
45,Brandon Stokley,28,IND,WR,16,3,102,68,1077,15.8,10,54,61.8,69,4.3,67.3,66.7,10.6,0,0,0,0,,,,0.0,0.0,68,15.8,1077,10,1,
46,Eric Moulds,31,BUF,WR,16,16,152,88,1043,11.9,5,53,49.3,49,5.5,65.2,57.9,6.9,5,19,0,1,20.0,12,3.8,1.2,0.3,93,11.4,1062,5,1,
