,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Ricky Watters,27,PHI,RB,16,16,70,51,444,8.7,0,19,50.0,36,3.2,27.8,72.9,6.3,353,1411,13,73,47.9,56,4.0,88.2,22.1,404,4.6,1855,13,5,PB
2,Terrell Davis,24,DEN,RB,16,16,52,36,310,8.6,2,16,53.8,23,2.3,19.4,69.2,6.0,345,1538,13,92,49.3,71,4.5,96.1,21.6,381,4.9,1848,15,5,"PB,AP-1,AP MVP-3,AP OPoY-1"
3,Barry Sanders,28,DET,RB,16,16,32,24,147,6.1,0,5,37.5,28,1.5,9.2,75.0,4.6,307,1553,11,79,50.2,54,5.1,97.1,19.2,331,5.1,1700,11,4,"PB,AP-2"
4,Jerome Bettis,24,PIT,RB,16,12,32,22,122,5.5,0,6,37.5,16,1.4,7.6,68.8,3.8,320,1431,11,76,51.3,50,4.5,89.4,20.0,342,4.5,1553,11,7,"PB,AP-1,AP MVP-4,AP OPoY-4"
5,Eddie George,23,HOU,RB,16,16,28,23,182,7.9,0,12,57.1,17,1.4,11.4,82.1,6.5,335,1368,8,67,46.6,76,4.1,85.5,20.9,358,4.3,1550,8,3,AP ORoY-1
6,Terry Allen,28,WAS,RB,16,16,42,32,194,6.1,0,6,38.1,28,2.0,12.1,76.2,4.6,347,1353,21,71,42.7,49,3.9,84.6,21.7,379,4.1,1547,21,4,"PB,AP-2"
7,Jamal Anderson,24,ATL,RB,16,12,66,49,473,9.7,1,19,51.5,34,3.1,29.6,74.2,7.2,232,1055,5,46,47.4,32,4.5,65.9,14.5,281,5.4,1528,6,4,
8,Curtis Martin,23,NWE,RB,16,15,52,46,333,7.2,3,15,51.9,41,2.9,20.8,88.5,6.4,316,1152,14,76,46.5,57,3.6,72.0,19.8,362,4.1,1485,17,4,PB
9,Emmitt Smith,27,DAL,RB,15,15,57,47,249,5.3,3,12,40.4,21,3.1,16.6,82.5,4.4,327,1204,12,75,47.1,42,3.7,80.3,21.8,374,3.9,1453,15,5,
10,Isaac Bruce,24,STL,WR,16,16,152,84,1338,15.9,7,60,52.0,70,5.3,83.6,55.3,8.8,1,4,0,0,100.0,4,4.0,0.3,0.1,85,15.8,1342,7,1,"PB,AP OPoY-5"
11,Jerry Rice,34,SFO,WR,16,16,154,108,1254,11.6,8,72,61.7,39,6.8,78.4,70.1,8.1,11,77,1,4,45.5,38,7.0,4.8,0.7,119,11.2,1331,9,0,"PB,AP-1,AP OPoY-5"
12,Adrian Murrell,26,NYJ,RB,16,16,34,17,81,4.8,1,3,23.5,30,1.1,5.1,50.0,2.4,301,1249,6,65,45.2,78,4.1,78.1,18.8,318,4.2,1330,7,6,
13,Jake Reed,29,MIN,WR,16,15,128,72,1320,18.3,7,56,53.1,82,4.5,82.5,56.3,10.3,0,0,0,0,,,,0.0,0.0,72,18.3,1320,7,0,
14,Anthony Johnson,29,CAR,RB,16,11,33,26,192,7.4,0,5,45.5,55,1.6,12.0,78.8,5.8,300,1120,6,58,45.7,29,3.7,70.0,18.8,326,4.0,1312,6,2,
15,Herman Moore,27,DET,WR,16,16,178,106,1296,12.2,9,71,52.8,50,6.6,81.0,59.6,7.3,0,0,0,0,,,,0.0,0.0,106,12.2,1296,9,0,"PB,AP-1"
16,Thurman Thomas,30,BUF,RB,15,15,42,26,254,9.8,0,9,38.1,69,1.7,16.9,61.9,6.0,281,1033,8,66,46.6,36,3.7,68.9,18.7,307,4.2,1287,8,1,
17,Karim Abdul-Jabbar,22,MIA,RB,16,14,46,23,139,6.0,0,6,34.8,23,1.4,8.7,50.0,3.0,307,1116,11,64,46.6,29,3.6,69.8,19.2,330,3.8,1255,11,4,
18,Jimmy Smith,27,JAX,WR,16,9,129,83,1244,15.0,7,60,60.5,62,5.2,77.8,64.3,9.6,0,0,0,0,,,,0.0,0.0,83,15.0,1244,7,1,
19,Michael Jackson,27,BAL,WR,16,16,151,76,1201,15.8,14,58,49.7,86,4.8,75.1,50.3,8.0,0,0,0,0,,,,0.0,0.0,76,15.8,1201,14,0,
20,Larry Centers,28,ARI,FB,16,14,130,99,766,7.7,7,44,52.3,39,6.2,47.9,76.2,5.9,116,425,2,20,38.8,24,3.7,26.6,7.3,215,5.5,1191,9,1,"PB,AP-1"
21,Irving Fryar,34,PHI,WR,16,16,153,88,1195,13.6,11,66,54.9,42,5.5,74.7,57.5,7.8,1,-4,0,0,0.0,-4,-4.0,-0.3,0.1,89,13.4,1191,11,0,PB
22,Carl Pickens,26,CIN,WR,16,16,174,100,1180,11.8,12,63,52.9,61,6.3,73.8,57.5,6.8,2,2,0,0,0.0,2,1.0,0.1,0.1,102,11.6,1182,12,0,"PB,AP-2"
23,Terry Glenn,22,NWE,WR,15,15,166,90,1132,12.6,6,58,47.0,37,6.0,75.5,54.2,6.8,5,42,0,2,60.0,26,8.4,2.8,0.3,95,12.4,1174,6,1,AP ORoY-2
24,Tony Martin,31,SDG,WR,16,16,167,85,1171,13.8,14,59,43.1,55,5.3,73.2,50.9,7.0,0,0,0,0,,,,0.0,0.0,85,13.8,1171,14,0,"PB,AP-2"
25,Cris Carter,31,MIN,WR,16,16,167,96,1163,12.1,10,57,51.5,43,6.0,72.7,57.5,7.0,0,0,0,0,,,,0.0,0.0,96,12.1,1163,10,1,PB
26,Tim Brown,30,OAK,WR,16,16,147,90,1104,12.3,9,58,55.8,42,5.6,69.0,61.2,7.5,6,35,0,3,50.0,15,5.8,2.2,0.4,96,11.9,1139,9,3,PB
27,Keenan McCardell,26,JAX,WR,16,15,127,85,1129,13.3,3,57,59.8,52,5.3,70.6,66.9,8.9,0,0,0,0,,,,0.0,0.0,85,13.3,1129,3,1,PB
28,Chris Warren,28,SEA,RB,14,14,46,40,273,6.8,0,11,41.3,33,2.9,19.5,87.0,5.9,203,855,5,33,38.4,51,4.2,61.1,14.5,243,4.6,1128,5,3,
29,Joey Galloway,25,SEA,WR,16,16,122,57,987,17.3,7,42,44.3,65,3.6,61.7,46.7,8.1,15,127,0,5,73.3,51,8.5,7.9,0.9,72,15.5,1114,7,2,
30,Marcus Allen,36,KAN,RB,16,15,35,27,270,10.0,0,12,60.0,59,1.7,16.9,77.1,7.7,206,830,9,55,51.9,35,4.0,51.9,12.9,233,4.7,1100,9,2,
31,Derrick Alexander,25,BAL,WR,15,14,108,62,1099,17.7,9,50,52.8,64,4.1,73.3,57.4,10.2,3,0,0,1,33.3,,0.0,0.0,0.2,65,16.9,1099,9,0,
32,Curtis Conway,25,CHI,WR,16,16,145,81,1049,13.0,7,51,51.0,58,5.1,65.6,55.9,7.2,8,50,0,2,50.0,19,6.3,3.1,0.5,89,12.3,1099,7,1,
33,Edgar Bennett,27,GNB,RB,16,15,39,31,176,5.7,1,6,46.2,25,1.9,11.0,79.5,4.5,222,899,2,50,47.7,23,4.0,56.2,13.9,253,4.2,1075,3,2,
34,Shannon Sharpe,28,DEN,TE,15,15,120,80,1062,13.3,10,52,59.2,51,5.3,70.8,66.7,8.9,0,0,0,0,,,,0.0,0.0,80,13.3,1062,10,1,"PB,AP-1,AP OPoY-5"
35,Andre Reed,32,BUF,WR,16,16,101,66,1036,15.7,6,42,56.4,67,4.1,64.8,65.3,10.3,8,22,0,4,50.0,13,2.8,1.4,0.5,74,14.3,1058,6,1,
36,Raymont Harris,26,CHI,RB,12,10,44,32,296,9.3,1,14,43.2,47,2.7,24.7,72.7,6.7,194,748,4,40,42.3,23,3.9,62.3,16.2,226,4.6,1044,5,3,
