,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Christian McCaffrey,27,SFO,RB,16,16,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7,6.8,272,1459,14,83,54.0,72,5.4,91.2,17.0,339,6.0,2023,21,3,"PB,AP-1,AP MVP-3,AP OPoY-1"
2,CeeDee Lamb,24,DAL,WR,17,17,181,135,1749,13.0,12,80,63.5,92,7.9,102.9,74.6,9.7,14,113,2,6,85.7,24,8.1,6.6,0.8,149,12.5,1862,14,3,"PB,AP-1,AP OPoY-3"
3,Tyreek Hill,29,MIA,WR,16,16,171,119,1799,15.1,13,83,57.9,78,7.4,112.4,69.6,10.5,6,15,0,2,33.3,14,2.5,0.9,0.4,125,14.5,1814,13,1,"PB,AP-1,AP MVP-6,AP OPoY-2"
4,Breece Hall,22,NYJ,RB,17,16,95,76,591,7.8,4,28,40.0,50,4.5,34.8,80.0,6.2,223,994,5,40,39.5,83,4.5,58.5,13.1,299,5.3,1585,9,2,AP CPoY-7
5,Puka Nacua,22,LAR,WR,17,17,160,105,1486,14.2,6,68,56.9,80,6.2,87.4,65.6,9.3,12,89,0,5,58.3,31,7.4,5.2,0.7,117,13.5,1575,6,1,"PB,AP-2,AP ORoY-2"
6,James Cook,24,BUF,RB,17,13,54,44,445,10.1,4,16,59.3,48,2.6,26.2,81.5,8.2,237,1122,2,53,55.7,42,4.7,66.0,13.9,281,5.6,1567,6,4,PB
7,Amon-Ra St. Brown,24,DET,WR,16,16,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6,9.2,4,24,0,2,75.0,11,6.0,1.5,0.3,123,12.5,1539,10,1,"PB,AP-1"
8,Rachaad White,24,TAM,RB,17,17,70,64,549,8.6,3,23,54.3,43,3.8,32.3,91.4,7.8,272,990,6,46,40.8,38,3.6,58.2,16.0,336,4.6,1539,9,3,
9,Travis Etienne,24,JAX,RB,17,17,73,58,476,8.2,1,23,49.3,56,3.4,28.0,79.5,6.5,267,1008,11,53,43.1,62,3.8,59.3,15.7,325,4.6,1484,12,0,AP OPoY-8
10,Bijan Robinson,21,ATL,RB,17,16,86,58,487,8.4,4,24,45.3,71,3.4,28.6,67.4,5.7,214,976,4,50,43.5,38,4.6,57.4,12.6,272,5.4,1463,8,4,AP ORoY-5
11,A.J. Brown,26,PHI,WR,17,17,158,106,1456,13.7,7,70,56.3,59,6.2,85.6,67.1,9.2,0,0,0,0,,,,0.0,0.0,106,13.7,1456,7,2,"PB,AP-2"
12,Joe Mixon,27,CIN,RB,17,17,64,52,376,7.2,3,14,54.7,45,3.1,22.1,81.3,5.9,257,1034,9,59,49.4,44,4.0,60.8,15.1,309,4.6,1410,12,0,
13,D.J. Moore,26,CHI,WR,17,17,136,96,1364,14.2,8,64,59.6,58,5.6,80.2,70.6,10.0,4,21,1,1,50.0,16,5.3,1.2,0.2,100,13.9,1385,9,1,
14,Derrick Henry,29,TEN,RB,17,17,36,28,214,7.6,0,7,44.4,46,1.6,12.6,77.8,5.9,280,1167,12,63,46.1,69,4.2,68.6,16.5,308,4.5,1381,12,0,PB
15,Kyren Williams,23,LAR,RB,12,11,48,32,206,6.4,3,9,43.8,24,2.7,17.2,66.7,4.3,228,1144,12,62,59.6,56,5.0,95.3,19.0,260,5.2,1350,15,3,"PB,AP-2"
16,Brandon Aiyuk,25,SFO,WR,16,16,105,75,1342,17.9,7,61,70.5,76,4.7,83.9,71.4,12.8,0,0,0,0,,,,0.0,0.0,75,17.9,1342,7,1,AP-2
17,Tony Pollard,26,DAL,RB,17,17,67,55,311,5.7,0,12,43.3,60,3.2,18.3,82.1,4.6,252,1005,6,56,50.0,31,4.0,59.1,14.8,307,4.3,1316,6,3,
18,Nico Collins,24,HOU,WR,15,10,109,80,1297,16.2,8,53,61.5,75,5.3,86.5,73.4,11.9,1,7,0,0,100.0,7,7.0,0.5,0.1,81,16.1,1304,8,1,
19,D'Andre Swift,24,PHI,RB,16,15,49,39,214,5.5,1,8,42.9,20,2.4,13.4,79.6,4.4,229,1049,5,50,54.1,43,4.6,65.6,14.3,268,4.7,1263,6,3,PB
20,Jahmyr Gibbs,21,DET,RB,15,3,71,52,316,6.1,1,20,46.5,24,3.5,21.1,73.2,4.5,182,945,10,42,46.7,36,5.2,63.0,12.1,234,5.4,1261,11,2,"PB,AP ORoY-4"
21,Mike Evans,30,TAM,WR,17,17,136,79,1255,15.9,13,54,53.7,75,4.6,73.8,58.1,9.2,0,0,0,0,,,,0.0,0.0,79,15.9,1255,13,0,"PB,AP-2"
22,Amari Cooper,29,CLE,WR,15,15,128,72,1250,17.4,5,50,53.1,75,4.8,83.3,56.3,9.8,0,0,0,0,,,,0.0,0.0,72,17.4,1250,5,2,PB
23,Keenan Allen,31,LAC,WR,13,13,150,108,1243,11.5,7,57,58.7,42,8.3,95.6,72.0,8.3,2,6,0,1,100.0,4,3.0,0.5,0.2,110,11.4,1249,7,2,PB
24,Saquon Barkley,26,NYG,RB,14,14,60,41,280,6.8,4,16,43.3,46,2.9,20.0,68.3,4.7,247,962,6,51,40.1,36,3.9,68.7,17.6,288,4.3,1242,10,2,
25,Ja'Marr Chase,23,CIN,WR,16,16,145,100,1216,12.2,7,63,56.6,76,6.3,76.0,69.0,8.4,3,-6,0,0,0.0,2,-2.0,-0.4,0.2,103,11.7,1210,7,1,PB
26,James Conner,28,ARI,RB,13,13,33,27,165,6.1,2,11,39.4,34,2.1,12.7,81.8,5.0,208,1040,7,57,49.5,44,5.0,80.0,16.0,235,5.1,1205,9,0,
27,Najee Harris,25,PIT,RB,17,17,38,29,170,5.9,0,9,50.0,32,1.7,10.0,76.3,4.5,255,1035,8,51,48.2,25,4.1,60.9,15.0,284,4.2,1205,8,2,
28,Stefon Diggs,30,BUF,WR,17,17,160,107,1183,11.1,8,58,55.0,55,6.3,69.6,66.9,7.4,1,5,0,1,100.0,5,5.0,0.3,0.1,108,11.0,1188,8,2,PB
29,Raheem Mostert,31,MIA,RB,15,15,32,25,175,7.0,3,6,40.6,22,1.7,11.7,78.1,5.5,209,1012,18,59,55.0,49,4.8,67.5,13.9,234,5.1,1187,21,4,PB
30,Isiah Pacheco,24,KAN,RB,14,13,49,44,244,5.5,2,12,44.9,33,3.1,17.4,89.8,5.0,205,935,7,53,50.7,48,4.6,66.8,14.6,249,4.7,1179,9,1,
31,Kenneth Walker III,23,SEA,RB,15,15,37,29,259,8.9,1,9,43.2,64,1.9,17.3,78.4,7.0,219,905,8,46,46.6,45,4.1,60.3,14.6,248,4.7,1164,9,1,
32,Alvin Kamara,28,NOR,RB,13,12,86,75,466,6.2,1,23,45.3,25,5.8,35.8,87.2,5.4,180,694,5,42,48.3,17,3.9,53.4,13.8,255,4.5,1160,6,0,
33,George Pickens,22,PIT,WR,17,16,106,63,1140,18.1,5,42,50.9,86,3.7,67.1,59.4,10.8,3,18,0,2,66.7,16,6.0,1.1,0.2,66,17.5,1158,5,3,
34,Jaylen Warren,25,PIT,RB,17,0,74,61,370,6.1,0,19,44.6,30,3.6,21.8,82.4,5.0,149,784,4,36,49.7,74,5.3,46.1,8.8,210,5.5,1154,4,4,
