,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Arian Foster,24,HOU,RB,16,13,84,66,604,9.2,2,34,51.2,50,4.1,37.8,78.6,7.2,327,1616,16,90,51.4,74,4.9,101.0,20.4,393,5.6,2220,18,3,"PB,AP-1,AP OPoY-3"
2,Jamaal Charles,24,KAN,RB,16,6,64,45,468,10.4,3,22,51.6,31,2.8,29.3,70.3,7.3,230,1467,5,70,54.8,80,6.4,91.7,14.4,275,7.0,1935,8,3,"PB,AP-1"
3,Ray Rice,23,BAL,RB,16,14,83,63,556,8.8,1,23,42.2,34,3.9,34.8,75.9,6.7,307,1220,5,53,43.3,50,4.0,76.3,19.2,370,4.8,1776,6,0,
4,LeSean McCoy,22,PHI,RB,15,13,91,78,592,7.6,2,29,59.3,40,5.2,39.5,85.7,6.5,207,1080,7,46,46.4,62,5.2,72.0,13.8,285,5.9,1672,9,2,
5,Darren McFadden,23,OAK,RB,13,13,61,47,507,10.8,3,22,47.5,67,3.6,39.0,77.0,8.3,223,1157,7,46,41.7,57,5.2,89.0,17.2,270,6.2,1664,10,4,
6,Peyton Hillis,24,CLE,RB,16,14,77,61,477,7.8,2,25,42.9,47,3.8,29.8,79.2,6.2,270,1177,11,58,51.5,48,4.4,73.6,16.9,331,5.0,1654,13,8,
7,Maurice Jones-Drew,25,JAX,RB,14,14,44,34,317,9.3,2,13,43.2,75,2.4,22.6,77.3,7.2,299,1324,5,74,50.8,37,4.4,94.6,21.4,333,4.9,1641,7,2,PB
8,Adrian Peterson,25,MIN,RB,15,15,50,36,341,9.5,1,17,48.0,34,2.4,22.7,72.0,6.8,283,1298,12,71,45.6,80,4.6,86.5,18.9,319,5.1,1639,13,1,"PB,AP-2"
9,Steven Jackson,27,STL,RB,16,16,62,46,383,8.3,0,14,41.9,49,2.9,23.9,74.2,6.2,330,1241,6,60,39.7,42,3.8,77.6,20.6,376,4.3,1624,6,1,PB
