,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Barry Sanders,29,DET,RB,16,16,50,33,305,9.2,3,11,42.0,66,2.1,19.1,66.0,6.1,335,2053,11,85,45.4,82,6.1,128.3,20.9,368,6.4,2358,14,3,"PB,AP-1,AP MVP-1,AP OPoY-1"
2,Terrell Davis,25,DEN,RB,15,15,58,42,287,6.8,0,11,37.9,25,2.8,19.1,72.4,4.9,369,1750,15,100,55.0,50,4.7,116.7,24.6,411,5.0,2037,15,4,"PB,AP-1,AP MVP-3,AP OPoY-2"
3,Dorsey Levens,27,GNB,RB,16,16,67,53,370,7.0,5,18,46.3,56,3.3,23.1,79.1,5.5,329,1435,7,68,42.9,52,4.4,89.7,20.6,382,4.7,1805,12,5,PB
4,Jerome Bettis,25,PIT,RB,15,15,24,15,110,7.3,2,5,37.5,19,1.0,7.3,62.5,4.6,375,1665,7,94,52.0,34,4.4,111.0,25.0,390,4.6,1775,9,6,"PB,AP-2,AP MVP-5"
5,Napoleon Kaufman,24,OAK,RB,16,16,50,40,403,10.1,2,13,48.0,70,2.5,25.2,80.0,8.1,272,1294,6,54,38.6,83,4.8,80.9,17.0,312,5.4,1697,8,7,
6,Rob Moore,29,ARI,WR,16,16,209,97,1584,16.3,8,68,41.6,47,6.1,99.0,46.4,7.6,0,0,0,0,,,,0.0,0.0,97,16.3,1584,8,0,"PB,AP-1"
7,Ricky Watters,28,PHI,RB,16,16,74,48,440,9.2,0,20,44.6,37,3.0,27.5,64.9,5.9,285,1110,7,55,44.2,28,3.9,69.4,17.8,333,4.7,1550,7,3,
8,Marshall Faulk,24,IND,RB,16,16,73,47,471,10.0,1,15,35.6,58,2.9,29.4,64.4,6.5,264,1054,7,65,48.1,45,4.0,65.9,16.5,311,4.9,1525,8,5,
9,Robert Smith,25,MIN,RB,14,14,44,37,197,5.3,1,9,34.1,20,2.6,14.1,84.1,4.5,232,1266,6,45,46.6,78,5.5,90.4,16.6,269,5.4,1463,7,0,
10,Curtis Martin,24,NWE,RB,13,13,51,41,296,7.2,1,12,51.0,22,3.2,22.8,80.4,5.8,274,1160,4,46,44.2,70,4.2,89.2,21.1,315,4.6,1456,5,3,
11,Eddie George,24,TEN,RB,16,16,12,7,44,6.3,1,3,25.0,15,0.4,2.8,58.3,3.7,357,1399,6,61,45.7,30,3.9,87.4,22.3,364,4.0,1443,7,4,PB
12,Warrick Dunn,22,TAM,RB,16,10,56,39,462,11.8,3,18,41.1,59,2.4,28.9,69.6,8.3,224,978,4,34,37.1,76,4.4,61.1,14.0,263,5.5,1440,7,4,"PB,AP ORoY-1"
13,Tim Brown,31,OAK,WR,16,16,162,104,1408,13.5,5,65,57.4,59,6.5,88.0,64.2,8.7,5,19,0,1,40.0,12,3.8,1.2,0.3,109,13.1,1427,5,1,"PB,AP-2"
14,Yancey Thigpen,28,PIT,WR,16,15,153,79,1398,17.7,7,62,46.4,69,4.9,87.4,51.6,9.1,1,3,0,0,0.0,3,3.0,0.2,0.1,80,17.5,1401,7,1,"PB,AP-2"
15,Corey Dillon,23,CIN,RB,16,6,33,27,259,9.6,0,8,66.7,28,1.7,16.2,81.8,7.8,233,1129,10,57,48.5,75,4.8,70.6,14.6,260,5.3,1388,10,1,AP ORoY-2
16,Jimmy Smith,28,JAX,WR,16,16,152,82,1324,16.1,4,64,48.0,75,5.1,82.8,53.9,8.7,0,0,0,0,,,,0.0,0.0,82,16.1,1324,4,1,PB
17,Irving Fryar,35,PHI,WR,16,16,153,86,1316,15.3,6,64,51.0,72,5.4,82.3,56.2,8.6,0,0,0,0,,,,0.0,0.0,86,15.3,1316,6,1,PB
18,Emmitt Smith,28,DAL,RB,16,16,48,40,234,5.9,0,6,35.4,24,2.5,14.6,83.3,4.9,261,1074,4,47,44.4,44,4.1,67.1,16.3,301,4.3,1308,4,1,
