,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
19,Herman Moore,28,DET,WR,16,16,171,104,1293,12.4,8,66,53.8,79,6.5,80.8,60.8,7.6,0,0,0,0,,,,0.0,0.0,104,12.4,1293,8,0,"PB,AP-1"
20,Jamal Anderson,25,ATL,RB,16,15,37,29,284,9.8,3,15,59.5,47,1.8,17.8,78.4,7.7,290,1002,7,54,44.1,39,3.5,62.6,18.1,319,4.0,1286,10,4,
21,Antonio Freeman,25,GNB,WR,16,16,137,81,1243,15.3,12,62,55.5,58,5.1,77.7,59.1,9.1,1,14,0,1,100.0,14,14.0,0.9,0.1,82,15.3,1257,12,1,
22,Garrison Hearst,26,SFO,RB,13,13,27,21,194,9.2,2,8,37.0,69,1.6,14.9,77.8,7.2,234,1019,4,41,43.2,51,4.4,78.4,18.0,255,4.8,1213,6,2,
23,Rod Smith,27,DEN,WR,16,16,131,70,1180,16.9,12,54,48.9,78,4.4,73.8,53.4,9.0,5,16,0,3,60.0,21,3.2,1.0,0.3,75,15.9,1196,12,3,
24,Adrian Murrell,27,NYJ,RB,16,15,42,27,106,3.9,0,4,26.2,23,1.7,6.6,64.3,2.5,300,1086,7,61,41.0,43,3.6,67.9,18.8,327,3.6,1192,7,4,
25,Michael Irvin,31,DAL,WR,16,16,157,75,1180,15.7,9,59,44.6,55,4.7,73.8,47.8,7.5,0,0,0,0,,,,0.0,0.0,75,15.7,1180,9,0,
26,Keenan McCardell,27,JAX,WR,16,16,130,85,1164,13.7,5,55,56.9,60,5.3,72.8,65.4,9.0,0,0,0,0,,,,0.0,0.0,85,13.7,1164,5,0,
27,Karim Abdul-Jabbar,23,MIA,RB,16,14,49,29,261,9.0,1,10,38.8,36,1.8,16.3,59.2,5.3,283,892,15,64,44.9,22,3.2,55.8,17.7,312,3.7,1153,16,3,
28,Raymont Harris,27,CHI,RB,13,13,42,28,115,4.1,0,7,28.6,16,2.2,8.8,66.7,2.7,275,1033,10,52,42.9,68,3.8,79.5,21.2,303,3.8,1148,10,1,
29,Jake Reed,30,MIN,WR,16,16,117,68,1138,16.7,6,58,57.3,56,4.3,71.1,58.1,9.7,0,0,0,0,,,,0.0,0.0,68,16.7,1138,6,0,
30,Joey Galloway,26,SEA,WR,15,15,148,72,1049,14.6,12,55,47.3,53,4.8,69.9,48.6,7.1,9,72,0,2,55.6,44,8.0,4.8,0.6,81,13.8,1121,12,1,
31,Shannon Sharpe,29,DEN,TE,16,16,114,72,1107,15.4,3,49,57.0,68,4.5,69.2,63.2,9.7,0,0,0,0,,,,0.0,0.0,72,15.4,1107,3,1,"PB,AP-1"
32,Chris Warren,29,SEA,RB,15,13,54,45,257,5.7,0,12,42.6,20,3.0,17.1,83.3,4.8,200,847,4,39,47.0,36,4.2,56.5,13.3,245,4.5,1104,4,2,
33,Andre Rison,30,KAN,WR,16,16,153,72,1092,15.2,7,54,43.8,45,4.5,68.3,47.1,7.1,1,2,0,0,0.0,2,2.0,0.1,0.1,73,15.0,1094,7,0,PB
34,Johnnie Morton,26,DET,WR,16,16,148,80,1057,13.2,6,51,43.9,73,5.0,66.1,54.1,7.1,3,33,0,1,66.7,20,11.0,2.1,0.2,83,13.1,1090,6,2,
35,Gary Brown,28,SDG,RB,15,14,30,21,137,6.5,0,8,43.3,27,1.4,9.1,70.0,4.6,253,945,4,47,42.7,32,3.7,63.0,16.9,274,3.9,1082,4,2,
36,Cris Carter,32,MIN,WR,16,16,158,89,1069,12.0,13,54,48.7,43,5.6,66.8,56.3,6.8,0,0,0,0,,,,0.0,0.0,89,12.0,1069,13,3,PB
37,Robert Brooks,27,GNB,WR,15,15,119,60,1010,16.8,7,44,47.1,48,4.0,67.3,50.4,8.5,2,19,0,1,100.0,15,9.5,1.3,0.1,62,16.6,1029,7,0,
38,Frank Sanders,24,ARI,WR,16,16,143,75,1017,13.6,4,50,44.8,70,4.7,63.6,52.4,7.1,1,5,0,0,100.0,5,5.0,0.3,0.1,76,13.4,1022,4,3,
39,Antowain Smith,25,BUF,RB,16,0,47,28,177,6.3,0,9,34.0,19,1.8,11.1,59.6,3.8,194,840,8,47,44.8,56,4.3,52.5,12.1,222,4.6,1017,8,4,AP ORoY-4
40,Derrick Alexander,26,BAL,WR,15,13,124,65,1009,15.5,9,39,46.8,92,4.3,67.3,52.4,8.1,1,0,0,0,0.0,,0.0,0.0,0.1,66,15.3,1009,9,1,
41,Charles Way,25,NYG,FB,16,16,51,37,304,8.2,1,12,45.1,62,2.3,19.0,72.5,6.0,151,698,4,37,51.0,42,4.6,43.6,9.4,188,5.3,1002,5,3,AP-2
42,Bert Emanuel,27,ATL,WR,16,16,140,65,991,15.2,9,49,41.4,56,4.1,61.9,46.4,7.1,0,0,0,0,,,,0.0,0.0,65,15.2,991,9,2,
43,Keyshawn Johnson,25,NYJ,WR,16,16,135,70,963,13.8,5,50,48.1,39,4.4,60.2,51.9,7.1,0,0,0,0,,,,0.0,0.0,70,13.8,963,5,0,
44,Bam Morris,25,BAL,RB,11,8,38,29,176,6.1,0,8,39.5,15,2.6,16.0,76.3,4.6,204,774,4,43,49.0,25,3.8,70.4,18.5,233,4.1,950,4,4,
45,O.J. McDuffie,28,MIA,WR,16,16,119,76,943,12.4,1,50,60.5,55,4.8,58.9,63.9,7.9,0,0,0,0,,,,0.0,0.0,76,12.4,943,1,0,
46,Terrell Owens,24,SFO,WR,16,15,104,60,936,15.6,8,48,54.8,56,3.8,58.5,57.7,9.0,0,0,0,0,,,,0.0,0.0,60,15.6,936,8,1,
47,Amp Lee,26,STL,RB,16,1,93,61,825,13.5,3,33,45.2,62,3.8,51.6,65.6,8.9,28,104,0,3,28.6,14,3.7,6.5,1.8,89,10.4,929,3,0,
48,Natrone Means,25,JAX,RB,14,11,20,15,104,6.9,0,3,45.0,21,1.1,7.4,75.0,5.2,244,823,9,43,49.2,20,3.4,58.8,17.4,259,3.6,927,9,5,
49,Michael Jackson,28,BAL,WR,16,15,137,69,918,13.3,4,45,45.3,54,4.3,57.4,50.4,6.7,0,0,0,0,,,,0.0,0.0,69,13.3,918,4,2,
50,Tony Martin,32,SDG,WR,16,16,146,63,904,14.3,6,45,39.7,72,3.9,56.5,43.2,6.2,0,0,0,0,,,,0.0,0.0,63,14.3,904,6,0,
51,Terry Allen,29,WAS,RB,10,10,29,20,172,8.6,1,7,51.7,38,2.0,17.2,69.0,5.9,210,724,4,32,39.0,34,3.4,72.4,21.0,230,3.9,896,5,2,
52,Andre Reed,33,BUF,WR,15,15,114,60,880,14.7,5,39,45.6,77,4.0,58.7,52.6,7.7,3,11,0,0,33.3,9,3.7,0.7,0.2,63,14.1,891,5,1,
53,James Stewart,26,JAX,RB,16,5,49,41,336,8.2,1,15,51.0,40,2.6,21.0,83.7,6.9,136,555,8,39,47.8,33,4.1,34.7,8.5,177,5.0,891,9,0,
54,Marvin Harrison,25,IND,WR,16,15,118,73,866,11.9,6,46,55.9,44,4.6,54.1,61.9,7.3,2,-7,0,0,0.0,,-3.5,-0.4,0.1,75,11.5,859,6,2,
55,Mike Pritchard,28,SEA,WR,16,15,117,64,843,13.2,2,43,50.4,61,4.0,52.7,54.7,7.2,1,14,0,1,100.0,14,14.0,0.9,0.1,65,13.2,857,2,2,
56,Quinn Early,32,BUF,WR,16,16,122,60,853,14.2,5,42,42.6,45,3.8,53.3,49.2,7.0,0,0,0,0,,,,0.0,0.0,60,14.2,853,5,0,
57,Thurman Thomas,31,BUF,RB,16,16,42,30,208,6.9,0,8,45.2,30,1.9,13.0,71.4,5.0,154,643,1,33,41.6,24,4.2,40.2,9.6,184,4.6,851,1,2,
58,Kimble Anders,31,KAN,FB,15,14,72,59,453,7.7,2,22,40.3,55,3.9,30.2,81.9,6.3,79,397,0,17,50.6,43,5.0,26.5,5.3,138,6.2,850,2,3,PB
59,Chris Calloway,29,NYG,WR,16,16,99,58,849,14.6,8,42,51.5,68,3.6,53.1,58.6,8.6,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,59,14.4,848,8,0,
60,Mike Alstott,24,TAM,FB,15,15,33,23,178,7.7,3,13,48.5,26,1.5,11.9,69.7,5.4,176,665,7,34,42.6,47,3.8,44.3,11.7,199,4.2,843,10,5,"PB,AP-1"
61,Shawn Jefferson,28,NWE,WR,16,14,94,54,841,15.6,2,37,52.1,76,3.4,52.6,57.4,8.9,0,0,0,0,,,,0.0,0.0,54,15.6,841,2,2,
62,Terance Mathis,30,ATL,WR,16,16,109,62,802,12.9,6,42,55.0,49,3.9,50.1,56.9,7.4,3,35,0,3,100.0,16,11.7,2.2,0.2,65,12.9,837,6,0,
63,Fred Lane,22,CAR,RB,13,7,13,8,27,3.4,0,0,30.8,7,0.6,2.1,61.5,2.1,182,809,7,42,51.1,50,4.4,62.2,14.0,190,4.4,836,7,4,
64,Isaac Bruce,25,STL,WR,12,12,119,56,815,14.6,5,38,38.7,59,4.7,67.9,47.1,6.8,0,0,0,0,,,,0.0,0.0,56,14.6,815,5,1,
65,Ray Zellars,24,NOR,FB,16,16,43,31,263,8.5,0,6,37.2,38,1.9,16.4,72.1,6.1,156,552,4,30,40.4,27,3.5,34.5,9.8,187,4.4,815,4,6,
66,Tiki Barber,22,NYG,RB,12,6,54,34,299,8.8,1,13,42.6,29,2.8,24.9,63.0,5.5,136,511,3,31,43.4,42,3.8,42.6,11.3,170,4.8,810,4,3,AP ORoY-4
67,Sean Dawkins,26,IND,WR,14,12,111,68,804,11.8,2,39,53.2,51,4.9,57.4,61.3,7.2,0,0,0,0,,,,0.0,0.0,68,11.8,804,2,0,
68,James Jett,27,OAK,WR,16,16,101,46,804,17.5,12,35,40.6,56,2.9,50.3,45.5,8.0,0,0,0,0,,,,0.0,0.0,46,17.5,804,12,2,
69,Darnay Scott,25,CIN,WR,16,15,98,54,797,14.8,5,41,53.1,77,3.4,49.8,55.1,8.1,1,6,0,1,100.0,6,6.0,0.4,0.1,55,14.6,803,5,0,
70,Wayne Chrebet,24,NYJ,WR,16,1,102,58,799,13.8,3,34,45.1,70,3.6,49.9,56.9,7.8,0,0,0,0,,,,0.0,0.0,58,13.8,799,3,0,
71,Rickey Dudley,25,OAK,TE,16,16,91,48,787,16.4,7,35,44.0,76,3.0,49.2,52.7,8.6,0,0,0,0,,,,0.0,0.0,48,16.4,787,7,0,
72,Charlie Garner,25,PHI,RB,16,2,34,24,225,9.4,0,9,61.8,27,1.5,14.1,70.6,6.6,116,547,3,31,51.7,26,4.7,34.2,7.3,140,5.5,772,3,1,
73,Randal Hill,28,NOR,WR,15,15,95,55,761,13.8,2,33,49.5,89,3.7,50.7,57.9,8.0,1,11,0,1,100.0,11,11.0,0.7,0.1,56,13.8,772,2,0,
74,Andre Hastings,27,NOR,WR,16,16,118,48,722,15.0,5,34,37.3,39,3.0,45.1,40.7,6.1,4,35,0,2,50.0,27,8.8,2.2,0.3,52,14.6,757,5,1,
75,Ricky Proehl,29,CHI,WR,15,10,105,58,753,13.0,7,39,47.6,78,3.9,50.2,55.2,7.2,0,0,0,0,,,,0.0,0.0,58,13.0,753,7,2,
76,Frank Wycheck,26,TEN,TE,16,16,99,63,748,11.9,4,38,51.5,42,3.9,46.8,63.6,7.6,0,0,0,0,,,,0.0,0.0,63,11.9,748,4,0,
77,Wesley Walls,31,CAR,TE,15,15,98,58,746,12.9,6,41,53.1,52,3.9,49.7,59.2,7.6,0,0,0,0,,,,0.0,0.0,58,12.9,746,6,0,"PB,AP-2"
78,Ben Coates,28,NWE,TE,16,16,98,66,737,11.2,8,37,56.1,35,4.1,46.1,67.3,7.5,0,0,0,0,,,,0.0,0.0,66,11.2,737,8,0,PB
79,J.J. Stokes,25,SFO,WR,16,16,80,58,733,12.6,4,37,58.8,36,3.6,45.8,72.5,9.2,0,0,0,0,,,,0.0,0.0,58,12.6,733,4,1,
80,Tyrone Wheatley,25,NYG,RB,14,7,25,16,140,8.8,0,5,40.0,27,1.1,10.0,64.0,5.6,152,583,4,32,42.1,38,3.8,41.6,10.9,168,4.3,723,4,3,
81,Lawrence Phillips,22,2TM,RB,12,9,19,11,39,3.5,0,2,21.1,17,0.9,3.3,57.9,2.1,201,677,8,39,41.3,28,3.4,56.4,16.8,212,3.4,716,8,3,
81,Lawrence Phillips,22,STL,RB,10,9,16,10,33,3.3,0,2,18.8,17,1.0,3.3,62.5,2.1,183,633,8,38,41.0,28,3.5,63.3,18.3,193,3.5,666,8,3,
81,Lawrence Phillips,22,MIA,RB,2,0,3,1,6,6.0,0,0,33.3,6,0.5,3.0,33.3,2.0,18,44,0,1,44.4,8,2.4,22.0,9.0,19,2.6,50,0,0,
82,Stephen Davis,23,WAS,RB,14,6,24,18,134,7.4,0,8,45.8,19,1.3,9.6,75.0,5.6,141,567,3,31,51.8,18,4.0,40.5,10.1,159,4.4,701,3,1,
83,Terry Kirby,27,SFO,RB,16,3,34,23,279,12.1,1,10,38.2,82,1.4,17.4,67.6,8.2,125,418,6,24,38.4,38,3.3,26.1,7.8,148,4.7,697,7,3,
84,Carl Pickens,27,CIN,WR,12,12,95,52,695,13.4,5,29,51.6,50,4.3,57.9,54.7,7.3,1,-6,0,0,0.0,-6,-6.0,-0.5,0.1,53,13.0,689,5,1,
85,Larry Centers,29,ARI,FB,15,14,75,54,409,7.6,1,20,48.0,29,3.6,27.3,72.0,5.5,101,276,1,18,33.7,14,2.7,18.4,6.7,155,4.4,685,2,1,
86,Jermaine Lewis,23,BAL,WR,14,7,72,42,648,15.4,6,29,45.8,42,3.0,46.3,58.3,9.0,3,35,0,1,100.0,24,11.7,2.5,0.2,45,15.2,683,6,3,
87,Greg Hill,25,KAN,RB,16,16,24,12,126,10.5,0,4,41.7,39,0.8,7.9,50.0,5.3,157,550,0,23,36.3,38,3.5,34.4,9.8,169,4.0,676,0,1,
88,Steve McNair,24,TEN,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,101,674,8,50,58.4,47,6.7,42.1,6.3,101,6.7,674,8,16,
89,Anthony Miller,32,DAL,WR,16,16,98,46,645,14.0,4,31,40.8,54,2.9,40.3,46.9,6.6,1,6,0,0,100.0,6,6.0,0.4,0.1,47,13.9,651,4,1,
90,James McKnight,25,SEA,WR,12,6,64,34,637,18.7,6,24,50.0,60,2.8,53.1,53.1,10.0,0,0,0,0,,,,0.0,0.0,34,18.7,637,6,1,
91,Sherman Williams,24,DAL,RB,16,0,28,21,159,7.6,0,6,57.1,18,1.3,9.9,75.0,5.7,121,468,2,25,43.0,18,3.9,29.3,7.6,142,4.4,627,2,5,
92,Ki-Jana Carter,24,CIN,RB,15,10,31,21,157,7.5,0,7,32.3,35,1.4,10.5,67.7,5.1,128,464,7,21,40.6,79,3.6,30.9,8.5,149,4.2,621,7,3,
93,Eric Green,30,BAL,TE,16,15,101,65,601,9.2,5,30,51.5,37,4.1,37.6,64.4,6.0,0,0,0,0,,,,0.0,0.0,65,9.2,601,5,1,
94,Marcus Allen,37,KAN,RB,16,0,14,11,86,7.8,0,6,50.0,18,0.7,5.4,78.6,6.1,124,505,11,42,60.5,30,4.1,31.6,7.8,135,4.4,591,11,4,
95,Ed McCaffrey,29,DEN,WR,15,15,85,45,590,13.1,8,32,49.4,35,3.0,39.3,52.9,6.9,0,0,0,0,,,,0.0,0.0,45,13.1,590,8,0,
96,Troy Brown,26,NWE,WR,16,6,72,41,607,14.8,6,23,43.1,67,2.6,37.9,56.9,8.4,1,-18,0,0,0.0,-18,-18.0,-1.1,0.1,42,14.0,589,6,0,
97,Leslie Shepherd,28,WAS,WR,11,9,69,29,562,19.4,5,27,40.6,48,2.6,51.1,42.0,8.1,4,27,0,1,50.0,17,6.8,2.5,0.4,33,17.8,589,5,0,
98,Chris Penn,26,CHI,WR,14,4,110,47,576,12.3,3,39,39.1,33,3.4,41.1,42.7,5.2,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,48,12.0,575,3,1,
99,Lamar Smith,27,SEA,RB,12,2,28,23,183,8.0,0,10,53.6,22,1.9,15.3,82.1,6.5,91,392,2,25,45.1,35,4.3,32.7,7.6,114,5.0,575,2,0,
100,Courtney Hawkins,28,PIT,WR,15,3,69,45,555,12.3,3,30,50.7,44,3.0,37.0,65.2,8.0,5,17,0,2,60.0,11,3.4,1.1,0.3,50,11.4,572,3,1,
101,Eric Metcalf,29,SDG,WR,16,1,77,40,576,14.4,2,24,37.7,62,2.5,36.0,51.9,7.5,3,-5,0,0,0.0,2,-1.7,-0.3,0.2,43,13.3,571,2,4,"PB,AP-1"
102,Rae Carruth,23,CAR,WR,15,14,81,44,545,12.4,4,27,49.4,52,2.9,36.3,54.3,6.7,6,23,0,1,50.0,6,3.8,1.5,0.4,50,11.4,568,4,2,
103,Charles Johnson,25,PIT,WR,13,11,91,46,568,12.3,2,28,47.3,49,3.5,43.7,50.5,6.2,0,0,0,0,,,,0.0,0.0,46,12.3,568,2,0,
104,Willie Davis,30,TEN,WR,16,15,89,43,564,13.1,4,33,44.9,46,2.7,35.3,48.3,6.3,0,0,0,0,,,,0.0,0.0,43,13.1,564,4,0,
105,Steve Broussard,30,SEA,RB,16,1,30,24,143,6.0,1,6,36.7,20,1.5,8.9,80.0,4.8,70,418,5,23,51.4,77,6.0,26.1,4.4,94,6.0,561,6,0,
106,Troy Drayton,27,MIA,TE,16,15,50,39,558,14.3,4,25,66.0,30,2.4,34.9,78.0,11.2,0,0,0,0,,,,0.0,0.0,39,14.3,558,4,0,
107,William Floyd,25,SFO,FB,15,15,54,37,321,8.7,1,13,46.3,44,2.5,21.4,68.5,5.9,78,231,3,18,37.2,22,3.0,15.4,5.2,115,4.8,552,4,2,
108,Michael Westbrook,25,WAS,WR,13,9,92,34,559,16.4,3,30,33.7,40,2.6,43.0,37.0,6.1,3,-11,0,0,33.3,7,-3.7,-0.8,0.2,37,14.8,548,3,0,
109,Brian Mitchell,29,WAS,RB,16,1,50,36,438,12.2,1,20,58.0,69,2.3,27.4,72.0,8.8,23,107,1,4,30.4,26,4.7,6.7,1.4,59,9.2,545,2,3,
110,Jeff Graham,28,NYJ,WR,16,16,93,42,542,12.9,2,26,40.9,47,2.6,33.9,45.2,5.8,0,0,0,0,,,,0.0,0.0,42,12.9,542,2,0,
111,Kevin Turner,28,PHI,FB,16,10,62,48,443,9.2,3,23,53.2,36,3.0,27.7,77.4,7.1,18,96,0,6,66.7,29,5.3,6.0,1.1,66,8.2,539,3,1,
112,Reidel Anthony,21,TAM,WR,16,13,79,35,448,12.8,4,23,39.2,38,2.2,28.0,44.3,5.7,5,84,0,4,80.0,26,16.8,5.3,0.3,40,13.3,532,4,0,
113,Anthony Johnson,30,CAR,RB,16,7,33,21,158,7.5,1,5,30.3,25,1.3,9.9,63.6,4.8,97,358,0,9,40.2,20,3.7,22.4,6.1,118,4.4,516,1,2,
114,Freddie Jones,23,SDG,TE,13,8,69,41,505,12.3,2,19,44.9,62,3.2,38.8,59.4,7.3,0,0,0,0,,,,0.0,0.0,41,12.3,505,2,0,
115,Curtis Conway,26,CHI,WR,7,7,52,30,476,15.9,1,18,51.9,55,4.3,68.0,57.7,9.2,3,17,0,1,66.7,10,5.7,2.4,0.4,33,14.9,493,1,0,
116,Karl Williams,26,TAM,WR,16,7,56,33,486,14.7,4,25,55.4,55,2.1,30.4,58.9,8.7,1,5,0,0,100.0,5,5.0,0.3,0.1,34,14.4,491,4,5,
117,Chris Sanders,25,TEN,WR,15,14,66,31,498,16.1,3,20,42.4,55,2.1,33.2,47.0,7.5,1,-8,0,0,0.0,-8,-8.0,-0.5,0.1,32,15.3,490,3,1,
118,Larry Bowie,24,WAS,FB,15,12,40,34,388,11.4,2,19,62.5,39,2.3,25.9,85.0,9.7,28,100,2,8,53.6,18,3.6,6.7,1.9,62,7.9,488,4,2,
119,Torrance Small,27,STL,WR,13,7,65,32,488,15.3,1,22,44.6,46,2.5,37.5,49.2,7.5,0,0,0,0,,,,0.0,0.0,32,15.3,488,1,0,
120,Henry Ellard,36,WAS,WR,16,11,65,32,485,15.2,4,29,46.2,27,2.0,30.3,49.2,7.5,0,0,0,0,,,,0.0,0.0,32,15.2,485,4,0,
121,Michael Timpson,30,PHI,WR,15,10,83,42,484,11.5,2,31,43.4,26,2.8,32.3,50.6,5.8,0,0,0,0,,,,0.0,0.0,42,11.5,484,2,1,
122,Charles Jordan,28,MIA,WR,14,1,55,27,471,17.4,3,24,47.3,44,1.9,33.6,49.1,8.6,3,12,0,1,33.3,16,4.0,0.9,0.2,30,16.1,483,3,2,
123,Mario Bates,24,NOR,RB,12,7,11,5,42,8.4,0,2,27.3,15,0.4,3.5,45.5,3.8,119,440,4,22,40.3,74,3.7,36.7,9.9,124,3.9,482,4,2,
124,William Henderson,26,GNB,FB,16,14,49,41,367,9.0,1,17,59.2,25,2.6,22.9,83.7,7.5,31,113,0,11,51.6,15,3.6,7.1,1.9,72,6.7,480,1,1,
125,Kordell Stewart,25,PIT,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,88,476,11,43,63.6,74,5.4,29.8,5.5,88,5.4,476,11,6,
126,Jamie Asher,25,WAS,TE,16,13,99,49,474,9.7,1,28,36.4,24,3.1,29.6,49.5,4.8,0,0,0,0,,,,0.0,0.0,49,9.7,474,1,0,
127,Charlie Jones,25,SDG,WR,16,11,80,32,423,13.2,1,17,31.3,44,2.0,26.4,40.0,5.3,4,42,0,2,100.0,17,10.5,2.6,0.3,36,12.9,465,1,0,
128,Ryan Wetnight,27,CHI,TE,16,3,65,46,464,10.1,1,23,50.8,34,2.9,29.0,70.8,7.1,0,0,0,0,,,,0.0,0.0,46,10.1,464,1,1,
129,Leeland McElroy,23,ARI,RB,14,8,12,7,32,4.6,0,1,25.0,17,0.5,2.3,58.3,2.7,135,424,2,22,38.5,18,3.1,30.3,9.6,142,3.2,456,2,3,
130,Freddie Solomon,25,PHI,WR,15,5,51,29,455,15.7,3,22,49.0,56,1.9,30.3,56.9,8.9,0,0,0,0,,,,0.0,0.0,29,15.7,455,3,3,
131,Terrell Fletcher,24,SDG,RB,13,1,48,39,292,7.5,0,17,47.9,25,3.0,22.5,81.3,6.1,51,161,0,6,33.3,13,3.2,12.4,3.9,90,5.0,453,0,4,
132,Rocket Ismail,28,CAR,WR,13,2,65,36,419,11.6,2,24,46.2,59,2.8,32.2,55.4,6.4,4,32,0,2,75.0,18,8.0,2.5,0.3,40,11.3,451,2,0,
133,Jerald Moore,23,STL,RB,9,5,12,8,69,8.6,0,2,50.0,19,0.9,7.7,66.7,5.8,104,380,3,21,42.3,26,3.7,42.2,11.6,112,4.0,449,3,4,
134,Eric Bjornson,26,DAL,TE,14,14,68,47,442,9.4,0,23,55.9,32,3.4,31.6,69.1,6.5,0,0,0,0,,,,0.0,0.0,47,9.4,442,0,2,
135,Earnest Byner,35,BAL,RB,16,5,31,21,128,6.1,0,8,32.3,17,1.3,8.0,67.7,4.1,84,313,0,18,51.2,19,3.7,19.6,5.3,105,4.2,441,0,2,
136,Harold Green,29,ATL,RB,16,1,36,29,360,12.4,0,13,44.4,47,1.8,22.5,80.6,10.0,36,78,1,7,25.0,22,2.2,4.9,2.3,65,6.7,438,1,0,
