,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Chris Johnson,24,TEN,RB,16,16,71,50,503,10.1,2,18,39.4,69,3.1,31.4,70.4,7.1,358,2006,14,80,43.6,91,5.6,125.4,22.4,408,6.1,2509,16,3,"PB,AP-1,AP OPoY-1"
2,Ray Rice,22,BAL,RB,16,15,101,78,702,9.0,1,27,46.5,63,4.9,43.9,77.2,7.0,254,1339,7,53,48.8,59,5.3,83.7,15.9,332,6.1,2041,8,3,"PB,AP-2"
3,Adrian Peterson,24,MIN,RB,16,15,57,43,436,10.1,0,16,47.4,63,2.7,27.3,75.4,7.6,314,1383,18,76,44.6,64,4.4,86.4,19.6,357,5.1,1819,18,7,"PB,AP-1"
4,Maurice Jones-Drew,24,JAX,RB,16,16,71,53,374,7.1,1,16,46.5,19,3.3,23.4,74.6,5.3,312,1391,15,69,48.1,80,4.5,86.9,19.5,365,4.8,1765,16,2,PB
5,Steven Jackson,26,STL,RB,15,15,75,51,322,6.3,0,16,34.7,38,3.4,21.5,68.0,4.3,324,1416,4,59,45.4,58,4.4,94.4,21.6,375,4.6,1738,4,2,"PB,AP-2"
6,Andre Johnson,28,HOU,WR,16,16,171,101,1569,15.5,9,70,49.1,72,6.3,98.1,59.1,9.2,2,10,0,1,100.0,7,5.0,0.6,0.1,103,15.3,1579,9,1,"PB,AP-1"
7,Frank Gore,26,SFO,RB,14,14,75,52,406,7.8,3,14,45.3,48,3.7,29.0,69.3,5.4,229,1120,10,47,39.3,80,4.9,80.0,16.4,281,5.4,1526,13,4,PB
8,Thomas Jones,31,NYJ,RB,16,16,18,10,58,5.8,0,4,27.8,28,0.6,3.6,55.6,3.2,331,1402,14,66,42.6,71,4.2,87.6,20.7,341,4.3,1460,14,2,
9,Ryan Grant,27,GNB,RB,16,16,30,25,197,7.9,0,9,56.7,27,1.6,12.3,83.3,6.6,282,1253,11,64,46.5,62,4.4,78.3,17.6,307,4.7,1450,11,1,
10,Fred Jackson,28,BUF,RB,16,11,61,46,371,8.1,2,22,42.6,21,2.9,23.2,75.4,6.1,237,1062,2,44,46.4,43,4.5,66.4,14.8,283,5.1,1433,4,4,
11,Jamaal Charles,23,KAN,RB,15,10,55,40,297,7.4,1,11,36.4,49,2.7,19.8,72.7,5.4,190,1120,7,54,54.2,76,5.9,74.7,12.7,230,6.2,1417,8,4,
12,Matt Forte,24,CHI,RB,16,16,72,57,471,8.3,0,17,37.5,37,3.6,29.4,79.2,6.5,258,929,4,41,41.1,61,3.6,58.1,16.1,315,4.4,1400,4,6,
13,Ricky Williams,32,MIA,RB,16,7,53,35,264,7.5,2,9,41.5,59,2.2,16.5,66.0,5.0,241,1121,11,55,53.9,68,4.7,70.1,15.1,276,5.0,1385,13,5,
14,Wes Welker,28,NWE,WR,14,13,162,123,1348,11.0,4,71,66.0,58,8.8,96.3,75.9,8.3,5,36,0,3,80.0,11,7.2,2.6,0.4,128,10.8,1384,4,2,"PB,AP-1"
15,Rashard Mendenhall,22,PIT,RB,16,12,32,25,261,10.4,1,13,56.3,26,1.6,16.3,78.1,8.2,242,1108,7,50,45.5,60,4.6,69.3,15.1,267,5.1,1369,8,3,
16,DeAngelo Williams,26,CAR,RB,13,13,41,29,252,8.7,0,14,58.5,30,2.2,19.4,70.7,6.1,216,1117,7,51,44.0,77,5.2,85.9,16.6,245,5.6,1369,7,3,PB
17,Cedric Benson,27,CIN,RB,13,13,24,17,111,6.5,0,5,58.3,19,1.3,8.5,70.8,4.6,301,1251,6,57,41.9,42,4.2,96.2,23.2,318,4.3,1362,6,1,AP CPoY-4
18,Miles Austin,25,DAL,WR,16,9,124,81,1320,16.3,11,58,55.6,60,5.1,82.5,65.3,10.6,2,-2,0,1,50.0,11,-1.0,-0.1,0.1,83,15.9,1318,11,1,PB
19,Sidney Rice,23,MIN,WR,16,14,121,83,1312,15.8,8,60,63.6,63,5.2,82.0,68.6,10.8,0,0,0,0,,,,0.0,0.0,83,15.8,1312,8,1,PB
20,DeSean Jackson,23,PHI,WR,15,15,117,62,1156,18.6,9,40,45.3,71,4.1,77.1,53.0,9.9,11,137,1,5,81.8,67,12.5,9.1,0.7,73,17.7,1293,10,3,"PB,AP-2"
21,Jonathan Stewart,22,CAR,RB,16,3,26,18,139,7.7,1,7,46.2,19,1.1,8.7,69.2,5.3,221,1133,10,54,48.9,67,5.1,70.8,13.8,239,5.3,1272,11,3,
22,Randy Moss,32,NWE,WR,16,16,137,83,1264,15.2,13,62,57.7,71,5.2,79.0,60.6,9.2,0,0,0,0,,,,0.0,0.0,83,15.2,1264,13,2,
23,Reggie Wayne,31,IND,WR,16,16,149,100,1264,12.6,10,73,59.1,65,6.3,79.0,67.1,8.5,0,0,0,0,,,,0.0,0.0,100,12.6,1264,10,0,"PB,AP-2"
24,Santonio Holmes,25,PIT,WR,16,16,138,79,1248,15.8,5,62,54.3,57,4.9,78.0,57.2,9.0,3,6,0,0,33.3,7,2.0,0.4,0.2,82,15.3,1254,5,0,
25,Steve Smith,24,NYG,WR,16,15,157,107,1220,11.4,7,62,58.0,51,6.7,76.3,68.2,7.8,0,0,0,0,,,,0.0,0.0,107,11.4,1220,7,0,PB
26,Vincent Jackson,26,SDG,WR,15,15,108,68,1167,17.2,9,57,60.2,55,4.5,77.8,63.0,10.8,3,11,0,1,33.3,12,3.7,0.7,0.2,71,16.6,1178,9,0,PB
27,Hines Ward,33,PIT,WR,16,16,137,95,1167,12.3,6,56,57.7,54,5.9,72.9,69.3,8.5,0,0,0,0,,,,0.0,0.0,95,12.3,1167,6,2,
28,Joseph Addai,26,IND,RB,15,15,63,51,336,6.6,3,18,46.0,25,3.4,22.4,81.0,5.3,219,828,10,44,50.7,21,3.8,55.2,14.6,270,4.3,1164,13,1,
29,Kevin Smith,23,DET,RB,13,13,57,41,415,10.1,1,16,54.4,63,3.2,31.9,71.9,7.3,217,747,4,41,45.2,31,3.4,57.5,16.7,258,4.5,1162,5,3,
30,Knowshon Moreno,22,DEN,RB,16,9,41,28,213,7.6,2,8,41.5,27,1.8,13.3,68.3,5.2,247,947,7,53,48.2,36,3.8,59.2,15.4,275,4.2,1160,9,4,AP ORoY-3
31,Brandon Marshall,25,DEN,WR,15,13,154,101,1120,11.1,10,55,45.5,75,6.7,74.7,65.6,7.3,7,39,0,1,57.1,14,5.6,2.6,0.5,108,10.7,1159,10,0,PB
32,Antonio Gates,29,SDG,TE,16,16,114,79,1157,14.6,8,61,62.3,56,4.9,72.3,69.3,10.1,0,0,0,0,,,,0.0,0.0,79,14.6,1157,8,1,"PB,AP-2"
33,Roddy White,28,ATL,WR,16,16,165,85,1153,13.6,11,54,43.0,90,5.3,72.1,51.5,7.0,1,2,0,0,0.0,2,2.0,0.1,0.1,86,13.4,1155,11,1,PB
34,Marion Barber III,26,DAL,RB,15,15,36,26,221,8.5,0,10,47.2,42,1.7,14.7,72.2,6.1,214,932,7,60,50.0,35,4.4,62.1,14.3,240,4.8,1153,7,2,
35,Dallas Clark,30,IND,TE,16,16,133,100,1106,11.1,10,61,60.9,80,6.3,69.1,75.2,8.3,2,11,0,1,100.0,7,5.5,0.7,0.1,102,11.0,1117,10,1,"PB,AP-1"
36,Greg Jennings,26,GNB,WR,16,13,119,68,1113,16.4,4,49,52.1,83,4.3,69.6,57.1,9.4,0,0,0,0,,,,0.0,0.0,68,16.4,1113,4,0,
37,Pierre Thomas,25,NOR,RB,14,6,45,39,302,7.7,2,12,48.9,36,2.8,21.6,86.7,6.7,147,793,6,37,54.4,34,5.4,56.6,10.5,186,5.9,1095,8,2,
38,Larry Fitzgerald,26,ARI,WR,16,16,153,97,1092,11.3,13,68,53.6,34,6.1,68.3,63.4,7.1,0,0,0,0,,,,0.0,0.0,97,11.3,1092,13,0,"PB,AP-2"
39,Jerome Harrison,26,CLE,RB,14,7,50,34,220,6.5,2,12,36.0,18,2.4,15.7,68.0,4.4,194,862,5,39,46.4,71,4.4,61.6,13.9,228,4.7,1082,7,2,
40,Marques Colston,26,NOR,WR,16,14,107,70,1074,15.3,9,54,59.8,68,4.4,67.1,65.4,10.0,1,6,0,0,100.0,6,6.0,0.4,0.1,71,15.2,1080,9,2,
41,Chad Johnson,31,CIN,WR,16,15,128,72,1047,14.5,9,55,52.3,50,4.5,65.4,56.3,8.2,3,32,0,1,66.7,26,10.7,2.0,0.2,75,14.4,1079,9,2,PB
42,Donald Driver,34,GNB,WR,16,16,113,70,1061,15.2,6,48,53.1,71,4.4,66.3,61.9,9.4,1,13,0,1,100.0,13,13.0,0.8,0.1,71,15.1,1074,6,2,
43,Calvin Johnson,24,DET,WR,14,14,137,67,984,14.7,5,46,42.3,75,4.8,70.3,48.9,7.2,7,73,0,5,100.0,19,10.4,5.2,0.5,74,14.3,1057,5,3,
44,Cadillac Williams,27,TAM,RB,16,15,39,28,217,7.8,3,10,46.2,22,1.8,13.6,71.8,5.6,211,823,4,43,38.4,35,3.9,51.4,13.2,239,4.4,1040,7,1,AP CPoY-2
45,Anquan Boldin,29,ARI,WR,15,15,127,84,1024,12.2,4,49,55.9,44,5.6,68.3,66.1,8.1,3,12,1,1,66.7,5,4.0,0.8,0.2,87,11.9,1036,5,3,
46,Derrick Mason,35,BAL,WR,16,16,134,73,1028,14.1,7,55,50.7,72,4.6,64.3,54.5,7.7,1,2,0,0,0.0,2,2.0,0.1,0.1,74,13.9,1030,7,0,
47,Jason Witten,27,DAL,TE,16,16,124,94,1030,11.0,2,49,58.9,69,5.9,64.4,75.8,8.3,0,0,0,0,,,,0.0,0.0,94,11.0,1030,2,0,PB
48,Tim Hightower,23,ARI,RB,16,16,80,63,428,6.8,0,22,45.0,23,3.9,26.8,78.8,5.4,143,598,8,33,39.9,50,4.2,37.4,8.9,206,5.0,1026,8,5,
49,Brandon Jacobs,27,NYG,RB,15,15,31,18,184,10.2,1,5,35.5,74,1.2,12.3,58.1,5.9,224,835,5,44,44.2,31,3.7,55.7,14.9,242,4.2,1019,6,2,
50,Steve Smith Sr.,30,CAR,WR,15,15,129,65,982,15.1,7,42,40.3,66,4.3,65.5,50.4,7.6,5,22,0,2,60.0,17,4.4,1.5,0.3,70,14.3,1004,7,1,
51,Ahmad Bradshaw,23,NYG,RB,15,1,30,21,207,9.9,0,6,36.7,55,1.4,13.8,70.0,6.9,163,778,7,47,51.5,38,4.8,51.9,10.9,184,5.4,985,7,3,
52,Brent Celek,24,PHI,TE,16,15,112,76,971,12.8,8,39,50.9,47,4.8,60.7,67.9,8.7,0,0,0,0,,,,0.0,0.0,76,12.8,971,8,0,
53,Justin Forsett,24,SEA,RB,16,2,57,41,350,8.5,1,13,38.6,47,2.6,21.9,71.9,6.1,114,619,4,29,44.7,35,5.4,38.7,7.1,155,6.3,969,5,4,
