,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Marshall Faulk,26,STL,RB,16,16,104,87,1048,12.0,5,40,57.7,57,5.4,65.5,83.7,10.1,253,1381,7,70,48.2,58,5.5,86.3,15.8,340,7.1,2429,12,2,"PB,AP-1,AP MVP-2,AP OPoY-1"
2,Edgerrin James,21,IND,RB,16,16,87,62,586,9.5,4,23,42.5,54,3.9,36.6,71.3,6.7,369,1553,13,86,42.3,72,4.2,97.1,23.1,431,5.0,2139,17,8,"PB,AP-1,AP MVP-4,AP OPoY-3,AP ORoY-1"
3,Charlie Garner,27,SFO,RB,16,15,76,56,535,9.6,2,23,55.3,53,3.5,33.4,73.7,7.0,241,1229,4,54,43.6,53,5.1,76.8,15.1,297,5.9,1764,6,4,
4,Eddie George,26,TEN,RB,16,16,64,47,458,9.7,4,20,51.6,54,2.9,28.6,73.4,7.2,320,1304,9,71,44.7,40,4.1,81.5,20.0,367,4.8,1762,13,5,"PB,AP-2"
5,Curtis Martin,26,NYJ,RB,16,16,60,45,259,5.8,0,9,36.7,34,2.8,16.2,75.0,4.3,367,1464,5,87,44.7,50,4.0,91.5,22.9,412,4.2,1723,5,2,AP-2
6,Marvin Harrison,27,IND,WR,16,16,193,115,1663,14.5,12,79,49.7,57,7.2,103.9,59.6,8.6,1,4,0,0,100.0,4,4.0,0.3,0.1,116,14.4,1667,12,2,"PB,AP-1"
7,Jimmy Smith,30,JAX,WR,16,16,177,116,1636,14.1,6,86,61.6,62,7.3,102.3,65.5,9.2,0,0,0,0,,,,0.0,0.0,116,14.1,1636,6,1,"PB,AP-2"
8,Dorsey Levens,29,GNB,RB,14,14,92,71,573,8.1,1,28,47.8,53,5.1,40.9,77.2,6.2,279,1034,9,58,43.0,36,3.7,73.9,19.9,350,4.6,1607,10,5,
9,Ricky Watters,30,SEA,RB,16,16,64,40,387,9.7,2,17,46.9,25,2.5,24.2,62.5,6.0,325,1210,5,51,38.8,45,3.7,75.6,20.3,365,4.4,1597,7,4,
10,Duce Staley,24,PHI,RB,16,16,66,41,294,7.2,2,19,37.9,19,2.6,18.4,62.1,4.5,325,1273,4,50,38.8,29,3.9,79.6,20.3,366,4.3,1567,6,5,
11,Stephen Davis,25,WAS,RB,14,14,28,23,111,4.8,0,5,39.3,21,1.6,7.9,82.1,4.0,290,1405,17,88,57.9,76,4.8,100.4,20.7,313,4.8,1516,17,4,"PB,AP-2,AP CPoY-9"
12,Emmitt Smith,30,DAL,RB,15,15,31,27,119,4.4,2,4,41.9,14,1.8,7.9,87.1,3.8,329,1397,11,86,48.6,63,4.2,93.1,21.9,356,4.3,1516,13,5,PB
13,Corey Dillon,25,CIN,RB,15,15,49,31,290,9.4,1,13,42.9,23,2.1,19.3,63.3,5.9,263,1200,5,64,43.0,50,4.6,80.0,17.5,294,5.1,1490,6,3,PB
14,Randy Moss,22,MIN,WR,16,16,138,80,1413,17.7,11,53,51.4,67,5.0,88.3,58.0,10.2,4,43,0,3,100.0,15,10.8,2.7,0.3,84,17.3,1456,11,3,PB
15,Marcus Robinson,24,CHI,WR,16,11,149,84,1400,16.7,9,56,49.0,80,5.3,87.5,56.4,9.4,0,0,0,0,,,,0.0,0.0,84,16.7,1400,9,0,AP CPoY-9
16,Germane Crowell,23,DET,WR,16,15,148,81,1338,16.5,7,54,48.0,77,5.1,83.6,54.7,9.0,5,38,0,2,80.0,20,7.6,2.4,0.3,86,16.0,1376,7,1,
17,Tim Brown,33,OAK,WR,16,16,145,90,1344,14.9,6,64,55.2,47,5.6,84.0,62.1,9.3,1,4,0,0,100.0,4,4.0,0.3,0.1,91,14.8,1348,6,0,PB
18,Olandis Gary,24,DEN,RB,12,12,29,21,159,7.6,0,5,55.2,21,1.8,13.3,72.4,5.5,276,1159,7,61,42.4,71,4.2,96.6,23.0,297,4.4,1318,7,2,
19,Curtis Enis,23,CHI,RB,15,12,68,45,340,7.6,2,15,33.8,28,3.0,22.7,66.2,5.0,287,916,3,58,43.2,19,3.2,61.1,19.1,332,3.8,1256,5,4,
20,Muhsin Muhammad,26,CAR,WR,15,15,156,96,1253,13.1,8,63,54.5,60,6.4,83.5,61.5,8.0,0,0,0,0,,,,0.0,0.0,96,13.1,1253,8,1,PB
21,Cris Carter,34,MIN,WR,16,16,137,90,1241,13.8,13,66,58.4,68,5.6,77.6,65.7,9.1,0,0,0,0,,,,0.0,0.0,90,13.8,1241,13,0,"PB,AP-1"
22,Michael Westbrook,27,WAS,WR,16,16,115,65,1191,18.3,9,47,53.9,65,4.1,74.4,56.5,10.4,7,35,0,3,57.1,12,5.0,2.2,0.4,72,17.0,1226,9,3,AP CPoY-7
23,Rocket Ismail,30,DAL,WR,16,14,132,80,1097,13.7,6,41,43.2,76,5.0,68.6,60.6,8.3,13,110,1,7,61.5,27,8.5,6.9,0.8,93,13.0,1207,7,1,
24,Warrick Dunn,24,TAM,RB,15,15,83,64,589,9.2,2,29,49.4,68,4.3,39.3,77.1,7.1,195,616,0,31,31.3,33,3.2,41.1,13.0,259,4.7,1205,2,3,
25,Jerome Bettis,27,PIT,RB,16,16,28,21,110,5.2,0,2,39.3,17,1.3,6.9,75.0,3.9,299,1091,7,64,46.2,35,3.6,68.2,18.7,320,3.8,1201,7,2,
26,Isaac Bruce,27,STL,WR,16,16,120,77,1165,15.1,12,55,60.0,60,4.8,72.8,64.2,9.7,5,32,0,3,100.0,11,6.4,2.0,0.3,82,14.6,1197,12,0,"PB,AP-2,AP CPoY-3"
27,Mike Alstott,26,TAM,FB,16,16,34,27,239,8.9,2,11,50.0,24,1.7,14.9,79.4,7.0,242,949,7,48,36.8,30,3.9,59.3,15.1,269,4.4,1188,9,6,"PB,AP-1"
28,Amani Toomer,25,NYG,WR,16,16,138,79,1183,15.0,6,52,51.4,80,4.9,73.9,57.2,8.6,1,4,0,0,100.0,4,4.0,0.3,0.1,80,14.8,1187,6,0,
29,Robert Smith,27,MIN,RB,13,12,30,24,166,6.9,0,6,33.3,34,1.8,12.8,80.0,5.5,221,1015,2,41,47.1,70,4.6,78.1,17.0,245,4.8,1181,2,1,
30,Keyshawn Johnson,27,NYJ,WR,16,16,147,89,1170,13.1,8,58,55.1,65,5.6,73.1,60.5,8.0,5,6,0,1,20.0,12,1.2,0.4,0.3,94,12.5,1176,8,0,PB
31,Terry Glenn,25,NWE,WR,14,13,117,69,1147,16.6,4,49,53.8,67,4.9,81.9,59.0,9.8,0,0,0,0,,,,0.0,0.0,69,16.6,1147,4,2,PB
32,Albert Connell,25,WAS,WR,15,14,123,62,1132,18.3,7,42,42.3,62,4.1,75.5,50.4,9.2,1,8,0,1,100.0,8,8.0,0.5,0.1,63,18.1,1140,7,1,
33,Tyrone Wheatley,27,OAK,RB,16,9,38,21,196,9.3,3,7,31.6,28,1.3,12.3,55.3,5.2,242,936,8,43,45.0,30,3.9,58.5,15.1,263,4.3,1132,11,3,AP CPoY-7
34,Johnnie Morton,28,DET,WR,16,12,133,80,1129,14.1,5,52,51.1,48,5.0,70.6,60.2,8.5,0,0,0,0,,,,0.0,0.0,80,14.1,1129,5,0,
35,Qadry Ismail,29,BAL,WR,16,16,141,68,1105,16.3,6,49,41.1,76,4.3,69.1,48.2,7.8,1,4,0,1,100.0,4,4.0,0.3,0.1,69,16.1,1109,6,2,AP CPoY-6
36,Patrick Jeffers,26,CAR,WR,15,10,101,63,1082,17.2,12,43,53.5,88,4.2,72.1,62.4,10.7,2,16,0,1,50.0,23,8.0,1.1,0.1,65,16.9,1098,12,0,
