,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,LeSean McCoy,25,PHI,RB,16,16,64,52,539,10.4,2,24,51.6,70,3.3,33.7,81.3,8.4,314,1607,9,79,49.7,57,5.1,100.4,19.6,366,5.9,2146,11,1,"PB,AP-1,AP OPoY-2,AP CPoY-11"
2,Jamaal Charles,27,KAN,RB,15,15,104,70,693,9.9,7,32,44.2,71,4.7,46.2,67.3,6.7,259,1287,12,72,49.4,46,5.0,85.8,17.3,329,6.0,1980,19,4,"PB,AP-1,AP OPoY-3"
3,Matt Forte,28,CHI,RB,16,16,95,74,594,8.0,3,26,48.4,34,4.6,37.1,77.9,6.3,289,1339,9,73,42.2,55,4.6,83.7,18.1,363,5.3,1933,12,2,PB
4,Josh Gordon,22,CLE,WR,14,14,159,87,1646,18.9,9,64,49.1,95,6.2,117.6,54.7,10.4,5,88,0,4,80.0,34,17.6,6.3,0.4,92,18.8,1734,9,0,"PB,AP-1,AP CPoY-6"
5,Knowshon Moreno,26,DEN,RB,16,15,74,60,548,9.1,3,30,59.5,35,3.8,34.3,81.1,7.4,241,1038,10,56,47.7,31,4.3,64.9,15.1,301,5.3,1586,13,1,AP CPoY-2
6,Marshawn Lynch,27,SEA,RB,16,16,44,36,316,8.8,2,12,40.9,55,2.3,19.8,81.8,7.2,301,1257,12,73,48.2,43,4.2,78.6,18.8,337,4.7,1573,14,4,PB
7,Alshon Jeffery,23,CHI,WR,16,14,148,89,1421,16.0,7,62,52.0,80,5.6,88.8,60.1,9.6,16,105,0,7,43.8,38,6.6,6.6,1.0,105,14.5,1526,7,3,PB
8,Reggie Bush,28,DET,RB,14,14,80,54,506,9.4,3,22,45.0,77,3.9,36.1,67.5,6.3,223,1006,4,49,44.8,39,4.5,71.9,15.9,277,5.5,1512,7,5,
9,Antonio Brown,25,PIT,WR,16,14,167,110,1499,13.6,8,70,53.3,56,6.9,93.7,65.9,9.0,7,4,0,2,57.1,10,0.6,0.3,0.4,117,12.8,1503,8,1,"PB,AP-2"
10,Calvin Johnson,28,DET,WR,14,14,156,84,1492,17.8,12,69,51.9,87,6.0,106.6,53.8,9.6,0,0,0,0,,,,0.0,0.0,84,17.8,1492,12,1,"PB,AP-1"
11,DeMarco Murray,25,DAL,RB,14,14,66,53,350,6.6,1,18,54.5,22,3.8,25.0,80.3,5.3,217,1121,9,65,51.6,43,5.2,80.1,15.5,270,5.4,1471,10,3,PB
12,Ryan Mathews,26,SDG,RB,16,14,33,26,189,7.3,1,9,57.6,17,1.6,11.8,78.8,5.7,285,1255,6,55,47.7,51,4.4,78.4,17.8,311,4.6,1444,7,2,
13,Adrian Peterson,28,MIN,RB,14,14,40,29,171,5.9,1,11,42.5,22,2.1,12.2,72.5,4.3,279,1266,10,61,43.7,78,4.5,90.4,19.9,308,4.7,1437,11,5,"PB,AP-2"
14,Eddie Lacy,23,GNB,RB,15,15,44,35,257,7.3,0,12,50.0,34,2.3,17.1,79.5,5.8,284,1178,11,63,44.4,60,4.1,78.5,18.9,319,4.5,1435,11,1,"PB,AP-2,AP ORoY-1"
15,Demaryius Thomas,26,DEN,WR,16,16,142,92,1430,15.5,14,66,58.5,78,5.8,89.4,64.8,10.1,0,0,0,0,,,,0.0,0.0,92,15.5,1430,14,1,"PB,AP-2"
16,A.J. Green,25,CIN,WR,16,16,178,98,1426,14.6,11,65,47.2,82,6.1,89.1,55.1,8.0,0,0,0,0,,,,0.0,0.0,98,14.6,1426,11,1,"PB,AP-2"
17,Chris Johnson,28,TEN,RB,16,16,52,42,345,8.2,4,11,38.5,66,2.6,21.6,80.8,6.6,279,1077,6,57,44.8,30,3.9,67.3,17.4,321,4.4,1422,10,3,
18,Andre Johnson,32,HOU,WR,16,16,181,109,1407,12.9,5,69,50.3,62,6.8,87.9,60.2,7.8,0,0,0,0,,,,0.0,0.0,109,12.9,1407,5,0,PB
19,Pierre Garcon,27,WAS,WR,16,16,181,113,1346,11.9,5,61,50.8,53,7.1,84.1,62.4,7.4,2,19,0,1,100.0,10,9.5,1.2,0.1,115,11.9,1365,5,1,AP CPoY-6
20,Alfred Morris,25,WAS,RB,16,16,12,9,78,8.7,0,2,50.0,17,0.6,4.9,75.0,6.5,276,1275,7,61,48.2,45,4.6,79.7,17.3,285,4.7,1353,7,5,PB
21,DeSean Jackson,27,PHI,WR,16,16,126,82,1332,16.2,9,60,55.6,61,5.1,83.3,65.1,10.6,3,2,0,0,33.3,8,0.7,0.1,0.2,85,15.7,1334,9,1,PB
22,Jordy Nelson,28,GNB,WR,16,16,127,85,1314,15.5,8,60,56.7,76,5.3,82.1,66.9,10.3,0,0,0,0,,,,0.0,0.0,85,15.5,1314,8,0,
23,Brandon Marshall,29,CHI,WR,16,16,164,100,1295,13.0,12,70,53.0,44,6.3,80.9,61.0,7.9,0,0,0,0,,,,0.0,0.0,100,13.0,1295,12,0,PB
24,Eric Decker,26,DEN,WR,16,16,136,87,1288,14.8,11,63,58.1,61,5.4,80.5,64.0,9.5,0,0,0,0,,,,0.0,0.0,87,14.8,1288,11,2,
25,Fred Jackson,32,BUF,RB,16,6,65,47,387,8.2,1,17,43.1,37,2.9,24.2,72.3,6.0,206,890,9,54,51.0,59,4.3,55.6,12.9,253,5.0,1277,10,3,
26,Frank Gore,30,SFO,RB,16,16,27,16,141,8.8,0,5,29.6,29,1.0,8.8,59.3,5.2,276,1128,9,50,38.8,51,4.1,70.5,17.3,292,4.3,1269,9,3,PB
