,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Adrian Peterson,27,MIN,RB,16,16,51,40,217,5.4,1,11,45.1,20,2.5,13.6,78.4,4.3,348,2097,12,88,46.8,82,6.0,131.1,21.8,388,6.0,2314,13,4,"PB,AP-1,AP MVP-1,AP OPoY-1,AP CPoY-2"
2,Calvin Johnson,27,DET,WR,16,16,204,122,1964,16.1,5,92,55.4,53,7.6,122.8,59.8,9.6,0,0,0,0,,,,0.0,0.0,122,16.1,1964,5,3,"PB,AP-1,AP OPoY-3"
3,Doug Martin,23,TAM,RB,16,16,70,49,472,9.6,1,18,45.7,64,3.1,29.5,70.0,6.7,319,1454,11,64,44.8,70,4.6,90.9,19.9,368,5.2,1926,12,1,PB
4,Marshawn Lynch,26,SEA,RB,16,15,30,23,196,8.5,1,11,60.0,27,1.4,12.3,76.7,6.5,315,1590,11,70,48.6,77,5.0,99.4,19.7,338,5.3,1786,12,5,"PB,AP-1"
5,Jamaal Charles,26,KAN,RB,16,15,49,35,236,6.7,1,11,42.9,22,2.2,14.8,71.4,4.8,285,1509,5,63,46.7,91,5.3,94.3,17.8,320,5.5,1745,6,5,"PB,AP-2,AP CPoY-3"
6,C.J. Spiller,25,BUF,RB,16,9,57,43,459,10.7,2,20,43.9,66,2.7,28.7,75.4,8.1,207,1244,6,53,53.6,62,6.0,77.8,12.9,250,6.8,1703,8,3,PB
7,Alfred Morris,24,WAS,RB,16,16,16,11,77,7.0,0,3,37.5,20,0.7,4.8,68.8,4.8,335,1613,13,86,50.1,39,4.8,100.8,20.9,346,4.9,1690,13,4,AP-2
8,Arian Foster,26,HOU,RB,16,16,58,40,217,5.4,2,10,25.9,23,2.5,13.6,69.0,3.7,351,1424,15,78,44.4,46,4.1,89.0,21.9,391,4.2,1641,17,3,PB
9,Ray Rice,25,BAL,RB,16,16,83,61,478,7.8,1,24,42.2,43,3.8,29.9,73.5,5.8,257,1143,9,52,43.2,46,4.4,71.4,16.1,318,5.1,1621,10,1,PB
10,Andre Johnson,31,HOU,WR,16,16,162,112,1598,14.3,4,79,61.1,60,7.0,99.9,69.1,9.9,0,0,0,0,,,,0.0,0.0,112,14.3,1598,4,0,"PB,AP-2"
11,Brandon Marshall,28,CHI,WR,16,16,192,118,1508,12.8,11,74,47.9,56,7.4,94.3,61.5,7.9,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,119,12.7,1506,11,2,"PB,AP-1"
12,Chris Johnson,27,TEN,RB,16,15,49,36,232,6.4,0,7,36.7,22,2.3,14.5,73.5,4.7,276,1243,6,46,41.7,94,4.5,77.7,17.3,312,4.7,1475,6,5,
13,Frank Gore,29,SFO,RB,16,16,36,28,234,8.4,1,10,47.2,26,1.8,14.6,77.8,6.5,258,1214,8,68,47.7,37,4.7,75.9,16.1,286,5.1,1448,9,2,PB
14,Matt Forte,27,CHI,RB,15,15,59,44,340,7.7,1,15,33.9,47,2.9,22.7,74.6,5.8,248,1094,5,45,41.5,46,4.4,72.9,16.5,292,4.9,1434,6,2,
15,Demaryius Thomas,25,DEN,WR,16,16,143,94,1434,15.3,10,60,54.5,71,5.9,89.6,65.7,10.0,0,0,0,0,,,,0.0,0.0,94,15.3,1434,10,3,PB
16,A.J. Green,24,CIN,WR,16,16,164,97,1350,13.9,11,61,51.8,73,6.1,84.4,59.1,8.2,4,38,0,2,75.0,20,9.5,2.4,0.3,101,13.7,1388,11,2,"PB,AP-2"
17,Vincent Jackson,29,TAM,WR,16,16,147,72,1384,19.2,8,61,48.3,95,4.5,86.5,49.0,9.4,0,0,0,0,,,,0.0,0.0,72,19.2,1384,8,0,PB
18,Dez Bryant,24,DAL,WR,16,14,138,92,1382,15.0,12,54,57.2,85,5.8,86.4,66.7,10.0,2,-5,0,0,50.0,6,-2.5,-0.3,0.1,94,14.6,1377,12,5,
19,Wes Welker,31,NWE,WR,16,12,174,118,1354,11.5,6,71,56.9,59,7.4,84.6,67.8,7.8,2,20,0,2,100.0,11,10.0,1.3,0.1,120,11.5,1374,6,3,PB
20,Steven Jackson,29,STL,RB,16,16,53,38,321,8.4,0,13,49.1,22,2.4,20.1,71.7,6.1,258,1045,4,49,45.3,46,4.1,65.3,16.1,296,4.6,1366,4,0,
21,Roddy White,31,ATL,WR,16,15,142,92,1351,14.7,7,73,58.5,59,5.8,84.4,64.8,9.5,0,0,0,0,,,,0.0,0.0,92,14.7,1351,7,1,
22,Reggie Wayne,34,IND,WR,16,15,195,106,1355,12.8,5,73,49.2,33,6.6,84.7,54.4,6.9,1,-5,0,0,0.0,-5,-5.0,-0.3,0.1,107,12.6,1350,5,1,PB
23,Trent Richardson,22,CLE,RB,15,15,70,51,367,7.2,1,18,50.0,27,3.4,24.5,72.9,5.2,267,950,11,38,42.3,32,3.6,63.3,17.8,318,4.1,1317,12,3,
24,Stevan Ridley,23,NWE,RB,16,12,14,6,51,8.5,0,2,28.6,20,0.4,3.2,42.9,3.6,290,1263,12,83,52.8,41,4.4,78.9,18.1,296,4.4,1314,12,4,
25,Reggie Bush,27,MIA,RB,16,16,52,35,292,8.3,2,14,40.4,25,2.2,18.3,67.3,5.6,227,986,6,43,50.2,65,4.3,61.6,14.2,262,4.9,1278,8,4,
26,Ahmad Bradshaw,26,NYG,RB,14,12,31,23,245,10.7,0,7,38.7,59,1.6,17.5,74.2,7.9,221,1015,6,58,50.7,37,4.6,72.5,15.8,244,5.2,1260,6,3,
27,Julio Jones,23,ATL,WR,16,15,128,79,1198,15.2,10,56,54.7,80,4.9,74.9,61.7,9.4,6,30,0,3,50.0,18,5.0,1.9,0.4,85,14.4,1228,10,0,PB
28,Shonn Greene,27,NYJ,RB,16,14,30,19,151,7.9,0,3,40.0,30,1.2,9.4,63.3,5.0,276,1063,8,52,51.1,36,3.9,66.4,17.3,295,4.1,1214,8,4,
29,LeSean McCoy,24,PHI,RB,12,12,67,54,373,6.9,3,20,46.3,36,4.5,31.1,80.6,5.6,200,840,2,45,49.5,34,4.2,70.0,16.7,254,4.8,1213,5,4,
30,Steve Smith Sr.,33,CAR,WR,16,16,137,73,1174,16.1,4,52,46.0,66,4.6,73.4,53.3,8.6,3,27,0,1,66.7,15,9.0,1.7,0.2,76,15.8,1201,4,1,
31,BenJarvus Green-Ellis,27,CIN,RB,15,15,30,22,104,4.7,0,4,36.7,13,1.5,6.9,73.3,3.5,278,1094,6,55,46.0,48,3.9,72.9,18.5,300,4.0,1198,6,3,
32,Marques Colston,29,NOR,WR,16,13,130,83,1154,13.9,10,64,62.3,60,5.2,72.1,63.8,8.9,0,0,0,0,,,,0.0,0.0,83,13.9,1154,10,4,
33,Michael Crabtree,25,SFO,WR,16,16,127,85,1105,13.0,9,57,57.5,49,5.3,69.1,66.9,8.7,1,8,0,0,0.0,8,8.0,0.5,0.1,86,12.9,1113,9,0,
34,Victor Cruz,26,NYG,WR,16,16,143,86,1092,12.7,10,52,50.3,80,5.4,68.3,60.1,7.6,0,0,0,0,,,,0.0,0.0,86,12.7,1092,10,0,PB
35,Randall Cobb,22,GNB,WR,15,8,104,80,954,11.9,8,47,59.6,39,5.3,63.6,76.9,9.2,10,132,0,7,90.0,28,13.2,8.8,0.7,90,12.1,1086,8,4,
36,Brian Hartline,26,MIA,WR,16,15,131,74,1083,14.6,1,49,51.9,80,4.6,67.7,56.5,8.3,0,0,0,0,,,,0.0,0.0,74,14.6,1083,1,1,
37,Eric Decker,25,DEN,WR,16,15,122,85,1064,12.5,13,53,60.7,55,5.3,66.5,69.7,8.7,0,0,0,0,,,,0.0,0.0,85,12.5,1064,13,0,
38,Stevie Johnson,26,BUF,WR,16,16,148,79,1046,13.2,6,52,47.3,63,4.9,65.4,53.4,7.1,0,0,0,0,,,,0.0,0.0,79,13.2,1046,6,1,
39,Lance Moore,29,NOR,WR,15,7,104,65,1041,16.0,6,55,59.6,51,4.3,69.4,62.5,10.0,0,0,0,0,,,,0.0,0.0,65,16.0,1041,6,0,
40,Jason Witten,30,DAL,TE,16,16,147,110,1039,9.4,3,56,65.3,36,6.9,64.9,74.8,7.1,0,0,0,0,,,,0.0,0.0,110,9.4,1039,3,0,"PB,AP-2"
