,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Josh Jacobs,24,LVR,RB,17,17,64,53,400,7.5,0,16,50.0,43,3.1,23.5,82.8,6.3,340,1653,12,93,57.4,86,4.9,97.2,20.0,393,5.2,2053,12,3,"PB,AP-1,AP OPoY-5"
2,Derrick Henry,28,TEN,RB,16,16,41,33,398,12.1,0,11,61.0,69,2.1,24.9,80.5,9.7,349,1538,13,65,46.7,56,4.4,96.1,21.8,382,5.1,1936,13,6,"PB,AP MVP-9,AP OPoY-12,AP CPoY-9"
3,Christian McCaffrey,26,2TM,RB,17,16,108,85,741,8.7,5,36,52.8,49,5.0,43.6,78.7,6.9,244,1139,8,59,48.4,49,4.7,67.0,14.4,329,5.7,1880,13,1,"PB,AP OPoY-7,AP CPoY-2"
3,Christian McCaffrey,26,CAR,RB,6,6,43,33,277,8.4,1,10,41.9,49,5.5,46.2,76.7,6.4,85,393,2,20,49.4,49,4.6,65.5,14.2,118,5.7,670,3,0,
3,Christian McCaffrey,26,SFO,RB,11,10,65,52,464,8.9,4,26,60.0,38,4.7,42.2,80.0,7.1,159,746,6,39,47.8,38,4.7,67.8,14.5,211,5.7,1210,10,1,
4,Justin Jefferson,23,MIN,WR,17,17,184,128,1809,14.1,8,80,57.6,64,7.5,106.4,69.6,9.8,4,24,1,2,75.0,10,6.0,1.4,0.2,132,13.9,1833,9,0,"PB,AP-1,AP MVP-5,AP OPoY-1"
5,Nick Chubb,27,CLE,RB,17,17,37,27,239,8.9,1,12,51.4,26,1.6,14.1,73.0,6.5,302,1525,12,69,50.0,41,5.0,89.7,17.8,329,5.4,1764,13,1,"PB,AP-2"
6,Tyreek Hill,28,MIA,WR,17,17,170,119,1710,14.4,7,77,56.5,64,7.0,100.6,70.0,10.1,7,32,1,3,57.1,10,4.6,1.9,0.4,126,13.8,1742,8,1,"PB,AP-1,AP MVP-9,AP OPoY-4"
7,Saquon Barkley,25,NYG,RB,16,16,76,57,338,5.9,0,10,38.2,41,3.6,21.1,75.0,4.4,295,1312,10,62,47.5,68,4.4,82.0,18.4,352,4.7,1650,10,1,"PB,AP CPoY-3"
8,Austin Ekeler,27,LAC,RB,17,17,127,107,722,6.7,5,36,48.0,23,6.3,42.5,84.3,5.7,204,915,13,46,48.0,72,4.5,53.8,12.0,311,5.3,1637,18,5,AP OPoY-9
9,Aaron Jones,28,GNB,RB,17,17,72,59,395,6.7,5,19,44.4,30,3.5,23.2,81.9,5.5,213,1121,2,54,54.9,36,5.3,65.9,12.5,272,5.6,1516,7,5,
10,Davante Adams,30,LVR,WR,17,17,180,100,1516,15.2,14,65,46.1,60,5.9,89.2,55.6,8.4,3,-1,0,0,0.0,4,-0.3,-0.1,0.2,103,14.7,1515,14,1,"PB,AP-1"
11,A.J. Brown,25,PHI,WR,17,16,145,88,1496,17.0,11,59,51.7,78,5.2,88.0,60.7,10.3,0,0,0,0,,,,0.0,0.0,88,17.0,1496,11,2,"PB,AP-2,AP MVP-9,AP OPoY-11"
12,Dalvin Cook,27,MIN,RB,17,17,56,39,295,7.6,2,16,41.1,64,2.3,17.4,69.6,5.3,264,1173,8,50,47.3,81,4.4,69.0,15.5,303,4.8,1468,10,4,PB
13,Rhamondre Stevenson,24,NWE,RB,17,7,88,69,421,6.1,1,13,39.8,40,4.1,24.8,78.4,4.8,210,1040,5,49,45.7,49,5.0,61.2,12.4,279,5.2,1461,6,4,
14,Travis Etienne,23,JAX,RB,17,12,45,35,316,9.0,0,16,44.4,30,2.1,18.6,77.8,7.0,220,1125,5,52,50.9,62,5.1,66.2,12.9,255,5.7,1441,5,5,
15,Stefon Diggs,29,BUF,WR,16,16,154,108,1429,13.2,11,74,64.3,53,6.8,89.3,70.1,9.3,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,109,13.1,1426,11,1,"PB,AP-2"
16,CeeDee Lamb,23,DAL,WR,17,17,156,107,1359,12.7,9,67,55.1,39,6.3,79.9,68.6,8.7,10,47,0,3,50.0,14,4.7,2.8,0.6,117,12.0,1406,9,0,"PB,AP-2"
17,Alvin Kamara,27,NOR,RB,15,13,77,57,490,8.6,2,17,46.8,54,3.8,32.7,74.0,6.4,223,897,2,40,52.0,27,4.0,59.8,14.9,280,5.0,1387,4,4,
18,Jaylen Waddle,24,MIA,WR,17,17,117,75,1356,18.1,8,60,54.7,84,4.4,79.8,64.1,11.6,3,26,0,0,100.0,9,8.7,1.5,0.2,78,17.7,1382,8,1,
19,Tony Pollard,25,DAL,RB,16,4,55,39,371,9.5,3,18,47.3,68,2.4,23.2,70.9,6.7,193,1007,9,46,47.7,57,5.2,62.9,12.1,232,5.9,1378,12,0,PB
20,Miles Sanders,25,PHI,RB,17,15,26,20,78,3.9,0,2,46.2,16,1.2,4.6,76.9,3.0,259,1269,11,62,56.8,40,4.9,74.6,15.2,279,4.8,1347,11,2,PB
21,Travis Kelce,33,KAN,TE,17,17,152,110,1338,12.2,12,78,63.2,52,6.5,78.7,72.4,8.8,2,5,0,1,100.0,4,2.5,0.3,0.1,112,12.0,1343,12,1,"PB,AP-1,AP OPoY-6"
22,Najee Harris,24,PIT,RB,17,17,53,41,229,5.6,3,16,49.1,19,2.4,13.5,77.4,4.3,272,1034,7,45,46.0,36,3.8,60.8,16.0,313,4.0,1263,10,3,
23,Amon-Ra St. Brown,23,DET,WR,16,16,146,106,1161,11.0,6,68,62.3,49,6.6,72.6,72.6,8.0,9,95,0,3,55.6,58,10.6,5.9,0.6,115,10.9,1256,6,0,PB
24,Joe Mixon,26,CIN,RB,14,14,75,60,441,7.4,2,17,50.7,35,4.3,31.5,80.0,5.9,210,814,7,47,52.4,40,3.9,58.1,15.0,270,4.6,1255,9,0,
25,Terry McLaurin,27,WAS,WR,17,17,120,77,1191,15.5,5,56,55.0,52,4.5,70.1,64.2,9.9,7,29,0,2,71.4,12,4.1,1.7,0.4,84,14.5,1220,5,1,PB
26,Kenneth Walker III,22,SEA,RB,15,11,35,27,165,6.1,0,6,37.1,33,1.8,11.0,77.1,4.7,228,1050,9,51,39.9,74,4.6,70.0,15.2,255,4.8,1215,9,0,AP ORoY-2
27,DeVonta Smith,24,PHI,WR,17,17,136,95,1196,12.6,7,57,54.4,45,5.6,70.4,69.9,8.8,0,0,0,0,,,,0.0,0.0,95,12.6,1196,7,1,
28,Leonard Fournette,27,TAM,RB,16,9,83,73,523,7.2,3,26,55.4,44,4.6,32.7,88.0,6.3,189,668,3,39,49.2,23,3.5,41.8,11.8,262,4.5,1191,6,0,
29,Tyler Allgeier,22,ATL,RB,16,7,17,16,139,8.7,1,8,58.8,26,1.0,8.7,94.1,8.2,210,1035,3,53,51.9,44,4.9,64.7,13.1,226,5.2,1174,4,0,AP ORoY-5
30,Amari Cooper,28,CLE,WR,17,17,132,78,1160,14.9,9,61,53.0,55,4.6,68.2,59.1,8.8,0,0,0,0,,,,0.0,0.0,78,14.9,1160,9,0,
31,Justin Fields,23,CHI,QB,15,15,0,0,0,,0,0,,,0.0,0.0,,,160,1143,8,65,56.3,67,7.1,76.2,10.7,160,7.1,1143,8,16,AP MVP-9
32,Jamaal Williams,27,DET,RB,17,9,16,12,73,6.1,0,4,37.5,17,0.7,4.3,75.0,4.6,262,1066,17,65,53.1,58,4.1,62.7,15.4,274,4.2,1139,17,3,
33,Mike Evans,29,TAM,WR,15,15,127,77,1124,14.6,6,53,54.3,63,5.1,74.9,60.6,8.9,0,0,0,0,,,,0.0,0.0,77,14.6,1124,6,0,
34,Christian Kirk,26,JAX,WR,17,17,133,84,1108,13.2,8,55,52.6,49,4.9,65.2,63.2,8.3,5,11,0,0,60.0,5,2.2,0.6,0.3,89,12.6,1119,8,1,
35,David Montgomery,25,CHI,RB,16,16,40,34,316,9.3,1,10,50.0,32,2.1,19.8,85.0,7.9,201,801,5,41,44.8,28,4.0,50.1,12.6,235,4.8,1117,6,2,
36,Garrett Wilson,22,NYJ,WR,17,12,147,83,1103,13.3,4,56,47.6,60,4.9,64.9,56.5,7.5,4,4,0,0,25.0,7,1.0,0.2,0.2,87,12.7,1107,4,2,AP ORoY-1
37,Dameon Pierce,22,HOU,RB,13,13,39,30,165,5.5,1,7,43.6,16,2.3,12.7,76.9,4.2,220,939,4,54,47.7,75,4.3,72.2,16.9,250,4.4,1104,5,4,AP ORoY-9
38,Devin Singletary,25,BUF,RB,16,16,52,38,280,7.4,1,15,53.8,22,2.4,17.5,73.1,5.4,177,819,5,43,52.5,33,4.6,51.2,11.1,215,5.1,1099,6,3,
39,Raheem Mostert,30,MIA,RB,16,14,42,31,202,6.5,2,11,47.6,25,1.9,12.6,73.8,4.8,181,891,3,44,55.2,67,4.9,55.7,11.3,212,5.2,1093,5,1,
40,James Conner,27,ARI,RB,13,13,58,46,300,6.5,1,13,44.8,22,3.5,23.1,79.3,5.2,183,782,7,48,55.2,23,4.3,60.2,14.1,229,4.7,1082,8,3,
41,Ja'Marr Chase,22,CIN,WR,12,12,134,87,1046,12.0,9,58,55.2,60,7.3,87.2,64.9,7.8,5,8,0,0,20.0,6,1.6,0.7,0.4,92,11.5,1054,9,2,PB
42,D.K. Metcalf,25,SEA,WR,17,17,141,90,1048,11.6,6,47,49.6,54,5.3,61.6,63.8,7.4,0,0,0,0,,,,0.0,0.0,90,11.6,1048,6,2,
43,Jeff Wilson,27,2TM,RB,16,7,37,22,185,8.4,1,7,35.1,16,1.4,11.6,59.5,5.0,176,860,5,43,50.0,41,4.9,53.8,11.0,198,5.3,1045,6,3,
43,Jeff Wilson,27,SFO,RB,8,6,13,10,91,9.1,0,3,46.2,16,1.3,11.4,76.9,7.0,92,468,2,22,52.2,41,5.1,58.5,11.5,102,5.5,559,2,2,
43,Jeff Wilson,27,MIA,RB,8,1,24,12,94,7.8,1,4,29.2,14,1.5,11.8,50.0,3.9,84,392,3,21,47.6,28,4.7,49.0,10.5,96,5.1,486,4,1,
44,Chris Olave,22,NOR,WR,15,9,119,72,1042,14.5,4,48,53.8,53,4.8,69.5,60.5,8.8,0,0,0,0,,,,0.0,0.0,72,14.5,1042,4,2,AP ORoY-4
45,Brandon Aiyuk,24,SFO,WR,17,17,114,78,1015,13.0,8,47,59.6,54,4.6,59.7,68.4,8.9,2,23,0,1,100.0,16,11.5,1.4,0.1,80,13.0,1038,8,1,
46,Tyler Lockett,30,SEA,WR,16,16,117,84,1033,12.3,9,50,60.7,40,5.3,64.6,71.8,8.8,0,0,0,0,,,,0.0,0.0,84,12.3,1033,9,2,
