,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Adrian Peterson,23,MIN,RB,16,15,39,21,125,6.0,0,4,25.6,16,1.3,7.8,53.8,3.2,363,1760,10,82,45.5,67,4.8,110.0,22.7,384,4.9,1885,10,9,"PB,AP-1,AP MVP-4,AP OPoY-2"
2,Michael Turner,26,ATL,RB,16,16,9,6,41,6.8,0,2,44.4,18,0.4,2.6,66.7,4.6,376,1699,17,85,46.5,70,4.5,106.2,23.5,382,4.6,1740,17,3,"PB,AP-1,AP MVP-2,AP OPoY-6"
3,Matt Forte,23,CHI,RB,16,16,76,63,477,7.6,4,23,60.5,19,3.9,29.8,82.9,6.3,316,1238,8,65,40.5,50,3.9,77.4,19.8,379,4.5,1715,12,1,AP ORoY-4
4,Clinton Portis,27,WAS,RB,16,16,35,28,218,7.8,0,11,48.6,29,1.8,13.6,80.0,6.2,342,1487,9,78,46.8,31,4.3,92.9,21.4,370,4.6,1705,9,3,"PB,AP-2"
5,Steve Slaton,22,HOU,RB,16,15,59,50,377,7.5,1,14,39.0,46,3.1,23.6,84.7,6.4,268,1282,9,62,43.3,71,4.8,80.1,16.8,318,5.2,1659,10,3,
6,DeAngelo Williams,25,CAR,RB,16,16,30,22,121,5.5,2,8,26.7,25,1.4,7.6,73.3,4.0,273,1515,18,65,44.3,69,5.5,94.7,17.1,295,5.5,1636,20,0,"AP-2,AP OPoY-5"
7,Andre Johnson,27,HOU,WR,16,16,171,115,1575,13.7,8,79,62.6,65,7.2,98.4,67.3,9.2,0,0,0,0,,,,0.0,0.0,115,13.7,1575,8,1,"PB,AP-1"
8,LaDainian Tomlinson,29,SDG,RB,16,16,77,52,426,8.2,1,18,44.2,32,3.3,26.6,67.5,5.5,292,1110,11,52,43.2,45,3.8,69.4,18.3,344,4.5,1536,12,1,
9,Thomas Jones,30,NYJ,RB,16,14,42,36,207,5.8,2,13,57.1,19,2.3,12.9,85.7,4.9,290,1312,13,63,51.4,59,4.5,82.0,18.1,326,4.7,1519,15,2,PB
10,Chris Johnson,23,TEN,RB,15,14,62,43,260,6.0,1,11,37.1,25,2.9,17.3,69.4,4.2,251,1228,9,54,42.6,66,4.9,81.9,16.7,294,5.1,1488,10,1,"PB,AP MVP-7,AP ORoY-2"
11,Steve Smith Sr.,29,CAR,WR,14,14,129,78,1421,18.2,6,59,56.6,65,5.6,101.5,60.5,11.0,5,40,0,3,60.0,23,8.0,2.9,0.4,83,17.6,1461,6,1,"PB,AP-2,AP OPoY-6"
12,Larry Fitzgerald,25,ARI,WR,16,16,154,96,1431,14.9,12,66,58.4,78,6.0,89.4,62.3,9.3,0,0,0,0,,,,0.0,0.0,96,14.9,1431,12,1,"PB,AP-1"
13,Steven Jackson,25,STL,RB,12,11,62,40,379,9.5,1,15,43.5,53,3.3,31.6,64.5,6.1,253,1042,7,57,44.3,56,4.1,86.8,21.1,293,4.8,1421,8,5,
14,Frank Gore,25,SFO,RB,14,14,66,43,373,8.7,2,13,45.5,26,3.1,26.6,65.2,5.7,240,1036,6,44,45.8,41,4.3,74.0,17.1,283,5.0,1409,8,6,
15,Derrick Ward,28,NYG,RB,16,3,55,41,384,9.4,0,14,41.8,48,2.6,24.0,74.5,7.0,182,1025,2,53,50.0,51,5.6,64.1,11.4,223,6.3,1409,2,2,
