,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,LaDainian Tomlinson,24,SDG,RB,16,16,137,100,725,7.3,4,26,32.1,73,6.3,45.3,73.0,5.3,313,1645,13,83,43.1,73,5.3,102.8,19.6,413,5.7,2370,17,2,"AP-2,AP OPoY-2"
2,Jamal Lewis,24,BAL,RB,16,16,38,26,205,7.9,0,10,47.4,26,1.6,12.8,68.4,5.4,387,2066,14,85,45.2,82,5.3,129.1,24.2,413,5.5,2271,14,8,"PB,AP-1,AP MVP-4,AP OPoY-1"
3,Ahman Green,26,GNB,RB,16,16,60,50,367,7.3,5,21,53.3,27,3.1,22.9,83.3,6.1,355,1883,15,100,49.3,98,5.3,117.7,22.2,405,5.6,2250,20,7,PB
4,Deuce McAllister,25,NOR,RB,16,16,86,69,516,7.5,0,23,50.0,39,4.3,32.3,80.2,6.0,351,1641,8,69,40.7,76,4.7,102.6,21.9,420,5.1,2157,8,6,"PB,AP OPoY-6"
5,Priest Holmes,30,KAN,RB,16,16,90,74,690,9.3,0,35,56.7,36,4.6,43.1,82.2,7.7,320,1420,27,90,57.5,31,4.4,88.8,20.0,394,5.4,2110,27,1,"PB,AP-1,AP MVP-5,AP OPoY-4,AP CPoY-11"
6,Fred Taylor,27,JAX,RB,16,16,74,48,370,7.7,1,16,44.6,60,3.0,23.1,64.9,5.0,345,1572,6,79,46.7,62,4.6,98.3,21.6,393,4.9,1942,7,6,
7,Clinton Portis,22,DEN,RB,13,13,51,38,314,8.3,0,10,37.3,72,2.9,24.2,74.5,6.2,290,1591,14,79,51.0,65,5.5,122.4,22.3,328,5.8,1905,14,3,PB
8,Shaun Alexander,26,SEA,RB,16,15,59,42,295,7.0,2,17,45.8,22,2.6,18.4,71.2,5.0,326,1435,14,81,46.6,55,4.4,89.7,20.4,368,4.7,1730,16,4,PB
9,Ricky Williams,26,MIA,RB,16,16,62,50,351,7.0,1,12,41.9,59,3.1,21.9,80.6,5.7,392,1372,9,68,36.7,45,3.5,85.8,24.5,442,3.9,1723,10,7,
10,Torry Holt,27,STL,WR,16,15,183,117,1696,14.5,12,84,59.6,48,7.3,106.0,63.9,9.3,1,5,0,0,100.0,5,5.0,0.3,0.1,118,14.4,1701,12,1,"PB,AP-1,AP OPoY-6"
11,Tiki Barber,28,NYG,RB,16,16,98,69,461,6.7,1,26,43.9,36,4.3,28.8,70.4,4.7,278,1216,2,68,47.5,27,4.4,76.0,17.4,347,4.8,1677,3,9,
12,Randy Moss,26,MIN,WR,16,16,172,111,1632,14.7,17,77,54.7,72,6.9,102.0,64.5,9.5,6,18,0,1,50.0,11,3.0,1.1,0.4,117,14.1,1650,17,1,"PB,AP-1"
13,Stephen Davis,29,CAR,RB,14,14,17,14,159,11.4,0,8,70.6,25,1.0,11.4,82.4,9.4,318,1444,8,69,45.6,40,4.5,103.1,22.7,332,4.8,1603,8,3,"PB,AP CPoY-4"
14,Curtis Martin,30,NYJ,RB,16,16,53,42,262,6.2,0,9,35.8,29,2.6,16.4,79.2,4.9,323,1308,2,57,44.6,56,4.0,81.8,20.2,365,4.3,1570,2,2,
