,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Priest Holmes,28,KAN,RB,16,16,75,62,614,9.9,2,21,49.3,67,3.9,38.4,82.7,8.2,327,1555,8,81,50.5,41,4.8,97.2,20.4,389,5.6,2169,10,4,"PB,AP-1,AP OPoY-4"
2,Marshall Faulk,28,STL,RB,14,14,104,83,765,9.2,9,40,62.5,65,5.9,54.6,79.8,7.4,260,1382,12,70,54.6,71,5.3,98.7,18.6,343,6.3,2147,21,3,"PB,AP-1,AP MVP-2,AP OPoY-1"
3,Ahman Green,24,GNB,RB,16,16,82,62,594,9.6,2,24,52.4,42,3.9,37.1,75.6,7.2,304,1387,9,57,42.8,83,4.6,86.7,19.0,366,5.4,1981,11,5,"PB,AP-2"
4,Curtis Martin,28,NYJ,RB,16,16,63,53,320,6.0,0,13,39.7,27,3.3,20.0,84.1,5.1,333,1513,10,78,46.5,47,4.5,94.6,20.8,386,4.7,1833,10,2,"PB,AP-2"
5,Ricky Williams,24,NOR,RB,16,16,88,60,511,8.5,1,19,40.9,42,3.8,31.9,68.2,5.8,313,1245,6,61,41.9,46,4.0,77.8,19.6,373,4.7,1756,7,8,
6,Shaun Alexander,24,SEA,RB,16,12,59,44,343,7.8,2,15,42.4,28,2.8,21.4,74.6,5.8,309,1318,14,64,42.7,88,4.3,82.4,19.3,353,4.7,1661,16,4,
7,Stephen Davis,27,WAS,RB,16,16,37,28,205,7.3,0,8,43.2,29,1.8,12.8,75.7,5.5,356,1432,5,75,45.8,32,4.0,89.5,22.3,384,4.3,1637,5,6,
8,David Boston,23,ARI,WR,16,15,175,98,1598,16.3,8,72,46.9,61,6.1,99.9,56.0,9.1,5,35,0,3,60.0,17,7.0,2.2,0.3,103,15.9,1633,8,1,"PB,AP-1"
9,LaDainian Tomlinson,22,SDG,RB,16,16,74,59,367,6.2,0,12,47.3,27,3.7,22.9,79.7,5.0,339,1236,10,68,43.7,54,3.6,77.3,21.2,398,4.0,1603,10,8,AP ORoY-2
10,Garrison Hearst,30,SFO,RB,16,16,55,41,347,8.5,1,15,58.2,60,2.6,21.7,74.5,6.3,252,1206,4,53,48.8,43,4.8,75.4,15.8,293,5.3,1553,5,1,"PB,AP CPoY-1"
11,Corey Dillon,27,CIN,RB,16,16,61,34,228,6.7,3,13,32.8,17,2.1,14.3,55.7,3.7,340,1315,10,69,40.9,96,3.9,82.2,21.3,374,4.1,1543,13,5,PB
12,Marvin Harrison,29,IND,WR,16,16,164,109,1524,14.0,15,74,60.4,68,6.8,95.3,66.5,9.3,1,3,0,0,0.0,3,3.0,0.2,0.1,110,13.9,1527,15,0,"PB,AP-2"
13,Tiki Barber,26,NYG,RB,14,9,98,72,577,8.0,0,30,50.0,44,5.1,41.2,73.5,5.9,166,865,4,40,47.0,36,5.2,61.8,11.9,238,6.1,1442,4,8,
14,Terrell Owens,28,SFO,WR,16,16,155,93,1412,15.2,16,71,53.5,60,5.8,88.3,60.0,9.1,4,21,0,1,50.0,12,5.3,1.3,0.3,97,14.8,1433,16,0,"PB,AP-1"
15,Charlie Garner,29,OAK,RB,16,16,91,72,578,8.0,2,29,54.9,27,4.5,36.1,79.1,6.4,211,839,1,33,46.9,38,4.0,52.4,13.2,283,5.0,1417,3,2,
16,Jimmy Smith,32,JAX,WR,16,16,176,112,1373,12.3,8,69,53.4,35,7.0,85.8,63.6,7.8,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,113,12.1,1370,8,1,"PB,AP CPoY-2"
17,Rod Smith,31,DEN,WR,15,14,172,113,1343,11.9,11,75,57.6,65,7.5,89.5,65.7,7.8,3,27,0,3,100.0,17,9.0,1.8,0.2,116,11.8,1370,11,1,"PB,AP-2"
18,Torry Holt,25,STL,WR,16,14,133,81,1363,16.8,7,58,54.9,51,5.1,85.2,60.9,10.2,2,0,0,0,0.0,,0.0,0.0,0.1,83,16.4,1363,7,2,PB
19,Anthony Thomas,24,CHI,RB,14,10,30,22,178,8.1,0,9,46.7,23,1.6,12.7,73.3,5.9,278,1183,7,58,43.9,46,4.3,84.5,19.9,300,4.5,1361,7,0,AP ORoY-1
20,Antowain Smith,29,NWE,RB,16,15,28,19,192,10.1,1,6,35.7,41,1.2,12.0,67.9,6.9,287,1157,12,61,45.6,44,4.0,72.3,17.9,306,4.4,1349,13,4,
21,Dominic Rhodes,22,IND,RB,15,10,55,34,224,6.6,0,13,32.7,19,2.3,14.9,61.8,4.1,233,1104,9,58,48.1,77,4.7,73.6,15.5,267,5.0,1328,9,6,AP ORoY-5
22,Troy Brown,30,NWE,WR,16,13,142,101,1199,11.9,5,60,61.3,60,6.3,74.9,71.1,8.4,11,91,0,3,54.5,31,8.3,5.7,0.7,112,11.5,1290,5,2,PB
23,Randy Moss,24,MIN,WR,16,16,154,82,1233,15.0,10,59,46.8,73,5.1,77.1,53.2,8.0,3,38,0,2,100.0,18,12.7,2.4,0.2,85,15.0,1271,10,0,
24,Joe Horn,29,NOR,WR,16,16,156,83,1265,15.2,9,58,44.2,56,5.2,79.1,53.2,8.1,1,4,0,0,100.0,4,4.0,0.3,0.1,84,15.1,1269,9,1,PB
25,Keyshawn Johnson,29,TAM,WR,15,15,180,106,1266,11.9,1,67,48.3,47,7.1,84.4,58.9,7.0,0,0,0,0,,,,0.0,0.0,106,11.9,1266,1,2,PB
26,Curtis Conway,30,SDG,WR,16,16,126,71,1125,15.8,6,52,52.4,72,4.4,70.3,56.3,8.9,7,116,1,3,57.1,67,16.6,7.3,0.4,78,15.9,1241,7,1,
27,Duce Staley,26,PHI,RB,13,10,91,63,626,9.9,2,19,44.0,46,4.8,48.2,69.2,6.9,166,604,2,29,41.0,44,3.6,46.5,12.8,229,5.4,1230,4,3,
28,Eddie George,28,TEN,RB,16,16,50,37,279,7.5,0,11,56.0,25,2.3,17.4,74.0,5.6,315,939,5,40,33.0,27,3.0,58.7,19.7,352,3.5,1218,5,8,
29,Tim Brown,35,OAK,WR,16,16,140,91,1165,12.8,9,61,58.6,46,5.7,72.8,65.0,8.3,4,39,0,2,100.0,19,9.8,2.4,0.3,95,12.7,1204,9,1,PB
30,Lamar Smith,31,MIA,RB,16,16,35,30,234,7.8,2,8,51.4,65,1.9,14.6,85.7,6.7,313,968,6,48,37.1,25,3.1,60.5,19.6,343,3.5,1202,8,6,
31,Johnnie Morton,30,DET,WR,16,16,144,77,1154,15.0,4,58,48.6,76,4.8,72.1,53.5,8.0,1,6,0,0,100.0,6,6.0,0.4,0.1,78,14.9,1160,4,1,
32,Jerry Rice,39,OAK,WR,16,15,126,83,1139,13.7,9,62,63.5,40,5.2,71.2,65.9,9.0,0,0,0,0,,,,0.0,0.0,83,13.7,1139,9,1,
33,Emmitt Smith,32,DAL,RB,14,14,21,17,116,6.8,0,6,57.1,22,1.2,8.3,81.0,5.5,261,1021,3,48,37.9,44,3.9,72.9,18.6,278,4.1,1137,3,1,
34,Isaac Bruce,29,STL,WR,16,16,103,64,1106,17.3,6,50,57.3,51,4.0,69.1,62.1,10.7,4,23,0,1,25.0,10,5.8,1.4,0.3,68,16.6,1129,6,4,PB
35,Derrick Mason,27,TEN,WR,15,15,113,73,1128,15.5,9,50,57.5,71,4.9,75.2,64.6,10.0,0,0,0,0,,,,0.0,0.0,73,15.5,1128,9,2,
36,Jerome Bettis,29,PIT,RB,11,11,10,8,48,6.0,0,2,40.0,16,0.7,4.4,80.0,4.8,225,1072,4,46,43.1,48,4.8,97.5,20.5,233,4.8,1120,4,3,PB
37,Keenan McCardell,31,JAX,WR,16,16,145,93,1110,11.9,6,58,55.9,45,5.8,69.4,64.1,7.7,0,0,0,0,,,,0.0,0.0,93,11.9,1110,6,1,
38,Michael Pittman,26,ARI,RB,15,14,65,42,264,6.3,0,10,32.3,27,2.8,17.6,64.6,4.1,241,846,5,42,40.2,42,3.5,56.4,16.1,283,3.9,1110,5,5,
39,Kevin Johnson,25,CLE,WR,16,16,129,84,1097,13.1,9,54,55.0,55,5.3,68.6,65.1,8.5,0,0,0,0,,,,0.0,0.0,84,13.1,1097,9,2,
40,Darrell Jackson,23,SEA,WR,16,16,131,70,1081,15.4,8,44,43.5,64,4.4,67.6,53.4,8.3,1,9,0,0,100.0,9,9.0,0.6,0.1,71,15.4,1090,8,0,
41,Hines Ward,25,PIT,WR,16,16,144,94,1003,10.7,4,52,54.2,34,5.9,62.7,65.3,7.0,10,83,0,4,50.0,36,8.3,5.2,0.6,104,10.4,1086,4,1,PB
42,Marty Booker,25,CHI,WR,16,16,157,100,1071,10.7,8,58,50.3,66,6.3,66.9,63.7,6.8,4,8,0,0,25.0,13,2.0,0.5,0.3,104,10.4,1079,8,2,
43,Amani Toomer,27,NYG,WR,16,14,142,72,1054,14.6,5,55,47.2,60,4.5,65.9,50.7,7.4,3,8,0,0,33.3,9,2.7,0.5,0.2,75,14.2,1062,5,2,
44,Qadry Ismail,31,BAL,WR,16,15,134,74,1059,14.3,7,50,48.5,77,4.6,66.2,55.2,7.9,0,0,0,0,,,,0.0,0.0,74,14.3,1059,7,1,
45,Willie Jackson,30,NOR,WR,16,16,135,81,1046,12.9,5,54,50.4,63,5.1,65.4,60.0,7.7,0,0,0,0,,,,0.0,0.0,81,12.9,1046,5,0,
