,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
76,Drew Bennett,27,TEN,WR,13,10,109,58,738,12.7,4,36,45.0,55,4.5,56.8,53.2,6.8,1,3,0,0,0.0,3,3.0,0.2,0.1,59,12.6,741,4,0,
77,Frank Gore,22,SFO,RB,14,1,22,15,131,8.7,0,4,31.8,47,1.1,9.4,68.2,6.0,127,608,3,27,45.7,72,4.8,43.4,9.1,142,5.2,739,3,2,
78,Michael Pittman,30,TAM,RB,16,4,46,36,300,8.3,1,14,47.8,41,2.3,18.8,78.3,6.5,70,436,1,10,37.1,64,6.2,27.3,4.4,106,6.9,736,2,1,
79,Brandon Lloyd,24,SFO,WR,16,15,109,48,733,15.3,5,34,39.4,89,3.0,45.8,44.0,6.7,0,0,0,0,,,,0.0,0.0,48,15.3,733,5,1,
80,Justin McCareins,27,NYJ,WR,16,16,104,43,713,16.6,2,33,39.4,45,2.7,44.6,41.3,6.9,1,8,0,0,100.0,8,8.0,0.5,0.1,44,16.4,721,2,0,
81,Marcel Shipp,27,ARI,RB,15,11,44,35,255,7.3,0,8,36.4,28,2.3,17.0,79.5,5.8,157,451,0,23,40.8,19,2.9,30.1,10.5,192,3.7,706,0,4,
82,Antowain Smith,33,NOR,RB,16,7,15,12,46,3.8,0,2,26.7,8,0.8,2.9,80.0,3.1,166,659,3,23,36.1,42,4.0,41.2,10.4,178,4.0,705,3,2,
83,Andre Johnson,24,HOU,WR,13,13,114,63,688,10.9,2,42,49.1,53,4.8,52.9,55.3,6.0,6,10,0,2,33.3,5,1.7,0.8,0.5,69,10.1,698,2,1,
84,Joe Jurevicius,31,SEA,WR,16,12,84,55,694,12.6,10,39,61.9,52,3.4,43.4,65.5,8.3,0,0,0,0,,,,0.0,0.0,55,12.6,694,10,1,
85,Roy Williams,24,DET,WR,13,12,94,45,687,15.3,8,31,44.7,51,3.5,52.8,47.9,7.3,0,0,0,0,,,,0.0,0.0,45,15.3,687,8,0,
86,Marty Booker,29,MIA,WR,15,12,86,39,686,17.6,3,30,43.0,60,2.6,45.7,45.3,8.0,0,0,0,0,,,,0.0,0.0,39,17.6,686,3,0,
87,Amani Toomer,31,NYG,WR,16,15,109,60,684,11.4,7,38,48.6,37,3.8,42.8,55.0,6.3,0,0,0,0,,,,0.0,0.0,60,11.4,684,7,0,
88,L.J. Smith,25,PHI,TE,16,16,107,61,682,11.2,3,37,48.6,48,3.8,42.6,57.0,6.4,0,0,0,0,,,,0.0,0.0,61,11.2,682,3,1,
89,Ernest Wilford,26,JAX,WR,16,8,74,41,681,16.6,7,35,54.1,39,2.6,42.6,55.4,9.2,0,0,0,0,,,,0.0,0.0,41,16.6,681,7,0,
90,Samkon Gado,23,GNB,RB,8,5,12,10,77,7.7,1,4,58.3,30,1.3,9.6,83.3,6.4,143,582,6,32,42.0,64,4.1,72.8,17.9,153,4.3,659,7,4,
91,Joe Horn,33,NOR,WR,13,13,103,49,654,13.3,1,37,43.7,30,3.8,50.3,47.6,6.3,0,0,0,0,,,,0.0,0.0,49,13.3,654,1,2,
92,Marion Barber III,22,DAL,RB,13,2,25,18,115,6.4,0,6,40.0,21,1.4,8.8,72.0,4.6,138,538,5,31,37.7,28,3.9,41.4,10.6,156,4.2,653,5,3,
93,Priest Holmes,32,KAN,RB,7,7,32,21,197,9.4,1,7,43.8,60,3.0,28.1,65.6,6.2,119,451,6,30,43.7,35,3.8,64.4,17.0,140,4.6,648,7,1,
94,Aaron Stecker,30,NOR,RB,15,4,48,35,281,8.0,0,12,47.9,41,2.3,18.7,72.9,5.9,95,363,0,24,42.1,32,3.8,24.2,6.3,130,5.0,644,0,3,
95,Greg Jones,24,JAX,FB,14,13,15,10,65,6.5,0,3,53.3,10,0.7,4.6,66.7,4.3,151,575,4,32,42.4,27,3.8,41.1,10.8,161,4.0,640,4,0,
96,Antwaan Randle El,26,PIT,WR,16,15,70,35,558,15.9,1,23,45.7,63,2.2,34.9,50.0,8.0,12,73,0,2,41.7,43,6.1,4.6,0.8,47,13.4,631,1,4,
97,Brian Finneran,29,ATL,WR,16,7,81,50,611,12.2,2,31,45.7,53,3.1,38.2,61.7,7.5,0,0,0,0,,,,0.0,0.0,50,12.2,611,2,0,
98,Chris Perry,24,CIN,RB,14,2,62,51,328,6.4,2,17,45.2,28,3.6,23.4,82.3,5.3,61,279,0,17,47.5,30,4.6,19.9,4.4,112,5.4,607,2,2,
99,Travis Taylor,27,MIN,WR,16,13,90,50,604,12.1,4,35,46.7,31,3.1,37.8,55.6,6.7,2,3,0,0,50.0,5,1.5,0.2,0.1,52,11.7,607,4,1,
100,Michael Bennett,27,MIN,RB,16,6,31,27,124,4.6,2,8,32.3,20,1.7,7.8,87.1,4.0,126,473,3,21,38.9,61,3.8,29.6,7.9,153,3.9,597,5,5,
101,Stephen Davis,31,CAR,RB,13,11,12,5,45,9.0,0,3,33.3,21,0.4,3.5,41.7,3.8,180,549,12,32,37.2,39,3.1,42.2,13.8,185,3.2,594,12,2,
102,Shawn Bryson,29,DET,RB,16,2,47,37,284,7.7,0,12,36.2,63,2.3,17.8,78.7,6.0,64,306,1,12,35.9,77,4.8,19.1,4.0,101,5.8,590,1,1,
103,Antonio Chatman,26,GNB,WR,16,3,86,49,549,11.2,4,31,51.2,25,3.1,34.3,57.0,6.4,8,34,0,3,62.5,11,4.3,2.1,0.5,57,10.2,583,4,0,
104,Marshall Faulk,32,STL,RB,16,1,57,44,291,6.6,1,18,43.9,18,2.8,18.2,77.2,5.1,65,292,0,15,46.2,20,4.5,18.3,4.1,109,5.3,583,1,2,
105,Michael Vick,25,ATL,QB,15,15,1,1,-14,-14.0,0,0,0.0,-14,0.1,-0.9,100.0,-14.0,102,597,6,43,56.9,32,5.9,39.8,6.8,103,5.7,583,6,11,PB
106,Randy McMichael,26,MIA,TE,16,16,105,60,582,9.7,5,25,44.8,30,3.8,36.4,57.1,5.5,0,0,0,0,,,,0.0,0.0,60,9.7,582,5,1,
107,Reggie Brown,24,PHI,WR,16,11,79,43,571,13.3,4,24,43.0,56,2.7,35.7,54.4,7.2,1,5,0,0,100.0,5,5.0,0.3,0.1,44,13.1,576,4,1,AP ORoY-2
108,Greg Lewis,25,PHI,WR,16,16,105,48,561,11.7,1,30,41.9,34,3.0,35.1,45.7,5.3,2,13,0,0,0.0,8,6.5,0.8,0.1,50,11.5,574,1,0,
109,Jermaine Wiggins,30,MIN,TE,16,8,90,69,568,8.2,1,31,52.2,24,4.3,35.5,76.7,6.3,0,0,0,0,,,,0.0,0.0,69,8.2,568,1,0,
110,Doug Gabriel,25,OAK,WR,14,2,72,37,554,15.0,3,31,47.2,38,2.6,39.6,51.4,7.7,1,5,0,0,100.0,5,5.0,0.4,0.1,38,14.7,559,3,0,
111,Jerramy Stevens,26,SEA,TE,16,11,68,45,554,12.3,5,31,61.8,35,2.8,34.6,66.2,8.1,0,0,0,0,,,,0.0,0.0,45,12.3,554,5,0,
112,Erron Kinney,28,TEN,TE,14,14,72,55,543,9.9,2,25,50.0,27,3.9,38.8,76.4,7.5,0,0,0,0,,,,0.0,0.0,55,9.9,543,2,0,
113,Brandon Stokley,29,IND,WR,15,4,67,41,543,13.2,1,29,52.2,45,2.7,36.2,61.2,8.1,0,0,0,0,,,,0.0,0.0,41,13.2,543,1,0,
114,Samie Parker,24,KAN,WR,12,9,58,36,533,14.8,3,27,55.2,49,3.0,44.4,62.1,9.2,0,0,0,0,,,,0.0,0.0,36,14.8,533,3,2,
115,Shaun McDonald,24,STL,WR,16,2,74,46,523,11.4,0,28,50.0,31,2.9,32.7,62.2,7.1,1,7,0,1,100.0,7,7.0,0.4,0.1,47,11.3,530,0,1,
116,Artose Pinner,27,DET,RB,16,2,25,21,181,8.6,0,7,48.0,24,1.3,11.3,84.0,7.2,106,349,3,22,45.3,19,3.3,21.8,6.6,127,4.2,530,3,0,
117,Ben Troupe,23,TEN,TE,15,11,80,55,530,9.6,4,31,56.3,35,3.7,35.3,68.8,6.6,0,0,0,0,,,,0.0,0.0,55,9.6,530,4,2,
118,Isaac Bruce,33,STL,WR,11,10,71,36,525,14.6,3,21,43.7,46,3.3,47.7,50.7,7.4,0,0,0,0,,,,0.0,0.0,36,14.6,525,3,0,
119,Tony Fisher,26,GNB,RB,14,4,64,48,347,7.2,1,11,42.2,15,3.4,24.8,75.0,5.4,60,173,1,9,40.0,17,2.9,12.4,4.3,108,4.8,520,2,2,
120,Marcus Pollard,33,DET,TE,16,16,78,46,516,11.2,3,28,44.9,86,2.9,32.3,59.0,6.6,0,0,0,0,,,,0.0,0.0,46,11.2,516,3,1,
121,Marcus Robinson,30,MIN,WR,15,9,57,31,515,16.6,5,24,43.9,68,2.1,34.3,54.4,9.0,0,0,0,0,,,,0.0,0.0,31,16.6,515,5,0,
122,Braylon Edwards,22,CLE,WR,10,7,60,32,512,16.0,3,22,46.7,80,3.2,51.2,53.3,8.5,0,0,0,0,,,,0.0,0.0,32,16.0,512,3,0,
123,J.J. Arrington,22,ARI,RB,15,5,33,25,139,5.6,0,6,33.3,15,1.7,9.3,75.8,4.2,112,370,2,16,38.4,32,3.3,24.7,7.5,137,3.7,509,2,1,
124,Michael Jenkins,23,ATL,WR,14,12,71,36,508,14.1,3,28,45.1,58,2.6,36.3,50.7,7.2,0,0,0,0,,,,0.0,0.0,36,14.1,508,3,1,
125,Jabar Gaffney,25,HOU,WR,16,13,90,55,492,8.9,2,31,50.0,29,3.4,30.8,61.1,5.5,4,13,0,1,50.0,10,3.3,0.8,0.3,59,8.6,505,2,0,
126,Mark Clayton,23,BAL,WR,14,10,86,44,471,10.7,2,22,39.5,47,3.1,33.6,51.2,5.5,8,33,1,2,62.5,11,4.1,2.4,0.6,52,9.7,504,3,0,
127,Jonathan Wells,26,HOU,RB,15,6,27,22,179,8.1,0,6,63.0,20,1.5,11.9,81.5,6.6,90,325,4,20,51.1,14,3.6,21.7,6.0,112,4.5,504,4,1,
128,Az-Zahir Hakim,28,NOR,WR,12,2,58,34,489,14.4,2,26,53.4,42,2.8,40.8,58.6,8.4,0,0,0,0,,,,0.0,0.0,34,14.4,489,2,1,
129,Darrell Jackson,27,SEA,WR,6,6,55,38,482,12.7,3,29,61.8,48,6.3,80.3,69.1,8.8,1,7,0,0,100.0,7,7.0,1.2,0.2,39,12.5,489,3,0,
130,Dallas Clark,26,IND,TE,15,14,52,37,488,13.2,4,25,63.5,56,2.5,32.5,71.2,9.4,0,0,0,0,,,,0.0,0.0,37,13.2,488,4,0,
131,Matt Jones,22,JAX,WR,16,1,69,36,432,12.0,5,23,40.6,42,2.3,27.0,52.2,6.3,12,51,0,2,33.3,25,4.3,3.2,0.8,48,10.1,483,5,2,
132,Jeb Putzier,26,DEN,TE,16,4,58,37,481,13.0,0,28,60.3,32,2.3,30.1,63.8,8.3,0,0,0,0,,,,0.0,0.0,37,13.0,481,0,1,
133,Dennis Northcutt,28,CLE,WR,16,7,78,42,441,10.5,2,19,44.9,58,2.6,27.6,53.8,5.7,2,33,0,1,50.0,31,16.5,2.1,0.1,44,10.8,474,2,0,
134,Patrick Pass,28,NWE,FB,12,4,30,22,227,10.3,0,8,43.3,39,1.8,18.9,73.3,7.6,54,245,3,13,40.7,31,4.5,20.4,4.5,76,6.2,472,3,2,
135,Troy Brown,34,NWE,WR/DB,13,3,59,39,466,11.9,2,25,59.3,71,3.0,35.8,66.1,7.9,0,0,0,0,,,,0.0,0.0,39,11.9,466,2,0,
136,Heath Miller,23,PIT,TE,16,15,52,39,459,11.8,6,22,55.8,50,2.4,28.7,75.0,8.8,0,0,0,0,,,,0.0,0.0,39,11.8,459,6,0,AP ORoY-2
137,Roddy White,24,ATL,WR,16,8,68,29,446,15.4,3,23,39.7,54,1.8,27.9,42.6,6.6,4,12,0,1,25.0,16,3.0,0.8,0.3,33,13.9,458,3,1,
138,Travis Henry,27,TEN,RB,10,1,20,13,117,9.0,0,5,35.0,42,1.3,11.7,65.0,5.9,88,335,0,13,31.8,29,3.8,33.5,8.8,101,4.5,452,0,2,
