,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Tiki Barber,30,NYG,RB,16,16,70,54,530,9.8,2,22,55.7,48,3.4,33.1,77.1,7.6,357,1860,9,74,47.9,95,5.2,116.3,22.3,411,5.8,2390,11,1,"PB,AP-1,AP MVP-4,AP OPoY-3"
2,Larry Johnson,26,KAN,RB,16,9,49,33,343,10.4,1,13,51.0,36,2.1,21.4,67.3,7.0,336,1750,20,99,53.0,49,5.2,109.4,21.0,369,5.7,2093,21,5,"PB,AP-2"
3,Shaun Alexander,28,SEA,RB,16,16,29,15,78,5.2,1,3,34.5,9,0.9,4.9,51.7,2.7,370,1880,27,109,52.7,88,5.1,117.5,23.1,385,5.1,1958,28,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
4,Edgerrin James,27,IND,RB,15,15,50,44,337,7.7,1,22,56.0,20,2.9,22.5,88.0,6.7,360,1506,13,97,58.9,33,4.2,100.4,24.0,404,4.6,1843,14,2,PB
5,LaDainian Tomlinson,26,SDG,RB,16,16,77,51,370,7.3,2,15,33.8,41,3.2,23.1,66.2,4.8,339,1462,18,72,46.9,62,4.3,91.4,21.2,390,4.7,1832,20,3,"PB,AP-2"
6,Clinton Portis,24,WAS,RB,16,16,41,30,216,7.2,0,13,58.5,23,1.9,13.5,73.2,5.3,352,1516,11,76,48.3,47,4.3,94.8,22.0,382,4.5,1732,11,3,
7,Warrick Dunn,30,ATL,RB,16,16,37,29,220,7.6,1,8,54.1,24,1.8,13.8,78.4,5.9,280,1416,3,67,45.4,65,5.1,88.5,17.5,309,5.3,1636,4,3,PB
8,Reuben Droughns,27,CLE,RB,16,16,56,39,369,9.5,0,14,46.4,51,2.4,23.1,69.6,6.6,309,1232,2,61,44.0,75,4.0,77.0,19.3,348,4.6,1601,2,6,
9,LaMont Jordan,27,OAK,RB,14,14,103,70,563,8.0,2,26,43.7,28,5.0,40.2,68.0,5.5,272,1025,9,62,45.6,26,3.8,73.2,19.4,342,4.6,1588,11,2,
10,Steve Smith Sr.,26,CAR,WR,16,16,150,103,1563,15.2,12,72,58.0,80,6.4,97.7,68.7,10.4,4,25,1,2,75.0,20,6.3,1.6,0.3,107,14.8,1588,13,2,"PB,AP-1,AP CPoY-1"
11,Rudi Johnson,26,CIN,RB,16,14,30,23,90,3.9,0,2,23.3,15,1.4,5.6,76.7,3.0,337,1458,12,80,50.1,33,4.3,91.1,21.1,360,4.3,1548,12,1,
12,Santana Moss,26,WAS,WR,16,16,134,84,1483,17.7,9,61,51.5,78,5.3,92.7,62.7,11.1,3,-3,0,0,0.0,3,-1.0,-0.2,0.2,87,17.0,1480,9,3,"PB,AP-2"
13,Thomas Jones,27,CHI,RB,15,15,39,26,143,5.5,0,6,30.8,41,1.7,9.5,66.7,3.7,314,1335,9,63,38.9,42,4.3,89.0,20.9,340,4.3,1478,9,2,
14,Chad Johnson,27,CIN,WR,16,16,155,97,1432,14.8,9,74,60.0,70,6.1,89.5,62.6,9.2,5,33,0,2,80.0,11,6.6,2.1,0.3,102,14.4,1465,9,1,"PB,AP-1"
15,Larry Fitzgerald,22,ARI,WR,16,16,165,103,1409,13.7,10,68,52.1,47,6.4,88.1,62.4,8.5,8,41,0,3,62.5,15,5.1,2.6,0.5,111,13.1,1450,10,0,PB
16,Anquan Boldin,25,ARI,WR,14,14,171,102,1402,13.7,7,69,52.6,54,7.3,100.1,59.6,8.2,12,45,0,2,50.0,11,3.8,3.2,0.9,114,12.7,1447,7,2,
17,Willis McGahee,24,BUF,RB,16,15,37,28,178,6.4,0,10,37.8,19,1.8,11.1,75.7,4.8,325,1247,5,71,44.3,27,3.8,77.9,20.3,353,4.0,1425,5,1,
18,Willie Parker,25,PIT,RB,15,15,24,18,218,12.1,1,9,58.3,48,1.2,14.5,75.0,9.1,255,1202,4,48,47.1,80,4.7,80.1,17.0,273,5.2,1420,5,4,
19,Steven Jackson,22,STL,RB,15,15,55,43,320,7.4,2,13,56.4,27,2.9,21.3,78.2,5.8,254,1046,8,50,41.7,51,4.1,69.7,16.9,297,4.6,1366,10,3,
20,Torry Holt,29,STL,WR,14,14,163,102,1331,13.0,9,63,52.1,44,7.3,95.1,62.6,8.2,1,2,0,0,0.0,2,2.0,0.1,0.1,103,12.9,1333,9,2,PB
21,Domanick Williams,25,HOU,RB,11,11,48,39,337,8.6,4,19,45.8,33,3.5,30.6,81.3,7.0,230,976,2,39,43.5,44,4.2,88.7,20.9,269,4.9,1313,6,2,
22,Joey Galloway,34,TAM,WR,16,16,153,83,1287,15.5,10,56,47.1,80,5.2,80.4,54.2,8.4,2,4,0,0,50.0,4,2.0,0.3,0.1,85,15.2,1291,10,0,AP CPoY-5
23,Cadillac Williams,23,TAM,RB,14,14,25,20,81,4.1,0,4,32.0,15,1.4,5.8,80.0,3.2,290,1178,6,59,42.4,71,4.1,84.1,20.7,310,4.1,1259,6,3,AP ORoY-1
24,DeShaun Foster,25,CAR,RB,15,5,48,34,372,10.9,1,12,41.7,47,2.3,24.8,70.8,7.8,205,879,2,38,41.0,70,4.3,58.6,13.7,239,5.2,1251,3,2,
25,Donald Driver,30,GNB,WR,16,16,147,86,1221,14.2,5,63,53.1,59,5.4,76.3,58.5,8.3,2,13,0,0,100.0,9,6.5,0.8,0.1,88,14.0,1234,5,0,
26,Brian Westbrook,26,PHI,RB,12,12,96,61,616,10.1,4,27,41.7,62,5.1,51.3,63.5,6.4,156,617,3,29,37.8,31,4.0,51.4,13.0,217,5.7,1233,7,0,
27,Mike Anderson,32,DEN,RB,15,15,15,18,212,11.8,1,6,86.7,66,1.2,14.1,120.0,14.1,239,1014,12,61,48.1,44,4.2,67.6,15.9,257,4.8,1226,13,2,
28,Plaxico Burress,28,NYG,WR,16,15,165,76,1214,16.0,7,48,41.8,78,4.8,75.9,46.1,7.4,0,0,0,0,,,,0.0,0.0,76,16.0,1214,7,1,
29,Julius Jones,24,DAL,RB,13,12,45,35,218,6.2,0,9,35.6,26,2.7,16.8,77.8,4.8,257,993,5,48,38.1,51,3.9,76.4,19.8,292,4.1,1211,5,4,
30,Chris Chambers,27,MIA,WR,16,16,166,82,1118,13.6,11,59,45.2,77,5.1,69.9,49.4,6.7,12,92,0,4,50.0,61,7.7,5.8,0.8,94,12.9,1210,11,5,PB
31,Chris Brown,24,TEN,RB,15,14,36,25,327,13.1,2,13,50.0,57,1.7,21.8,69.4,9.1,224,851,5,37,40.6,38,3.8,56.7,14.9,249,4.7,1178,7,4,
32,Marvin Harrison,33,IND,WR,15,15,132,82,1146,14.0,12,58,56.8,80,5.5,76.4,62.1,8.7,0,0,0,0,,,,0.0,0.0,82,14.0,1146,12,0,"PB,AP-2"
33,Eddie Kennison,32,KAN,WR,16,16,109,68,1102,16.2,5,47,57.8,55,4.3,68.9,62.4,10.1,7,43,0,1,28.6,23,6.1,2.7,0.4,75,15.3,1145,5,1,
34,Ronnie Brown,24,MIA,RB,15,14,47,32,232,7.3,1,12,48.9,38,2.1,15.5,68.1,4.9,207,907,4,42,44.9,65,4.4,60.5,13.8,239,4.8,1139,5,4,
35,Terry Glenn,31,DAL,WR,16,16,115,62,1136,18.3,7,48,49.6,71,3.9,71.0,53.9,9.9,2,-4,1,1,50.0,6,-2.0,-0.3,0.1,64,17.7,1132,8,0,
36,Rod Smith,35,DEN,WR,16,16,126,85,1105,13.0,6,55,60.3,72,5.3,69.1,67.5,8.8,1,7,0,0,100.0,7,7.0,0.4,0.1,86,12.9,1112,6,2,PB
37,Antonio Gates,25,SDG,TE,15,15,140,89,1101,12.4,10,62,53.6,38,5.9,73.4,63.6,7.9,0,0,0,0,,,,0.0,0.0,89,12.4,1101,10,0,"PB,AP-1"
38,Jamal Lewis,26,BAL,RB,15,15,44,32,191,6.0,1,6,38.6,15,2.1,12.7,72.7,4.3,269,906,3,49,41.3,25,3.4,60.4,17.9,301,3.6,1097,4,5,
39,Derrick Mason,31,BAL,WR,16,16,137,86,1073,12.5,3,53,47.4,39,5.4,67.1,62.8,7.8,0,0,0,0,,,,0.0,0.0,86,12.5,1073,3,1,
40,Reggie Wayne,27,IND,WR,16,16,122,83,1055,12.7,5,55,61.5,66,5.2,65.9,68.0,8.6,0,0,0,0,,,,0.0,0.0,83,12.7,1055,5,1,
41,Tatum Bell,24,DEN,RB,15,1,28,18,104,5.8,0,5,35.7,14,1.2,6.9,64.3,3.7,173,921,8,42,39.9,68,5.3,61.4,11.5,191,5.4,1025,8,3,
42,Jimmy Smith,36,JAX,WR,16,16,128,70,1023,14.6,6,55,49.2,45,4.4,63.9,54.7,8.0,0,0,0,0,,,,0.0,0.0,70,14.6,1023,6,0,
43,T.J. Houshmandzadeh,28,CIN,WR,14,12,115,78,956,12.3,7,52,60.0,43,5.6,68.3,67.8,8.3,8,62,1,3,87.5,17,7.8,4.4,0.6,86,11.8,1018,8,1,
44,Antonio Bryant,24,CLE,WR,16,15,123,69,1009,14.6,4,44,49.6,54,4.3,63.1,56.1,8.2,1,3,0,0,0.0,3,3.0,0.2,0.1,70,14.5,1012,4,1,
45,Randy Moss,28,OAK,WR,16,15,124,60,1005,16.8,8,46,42.7,79,3.8,62.8,48.4,8.1,0,0,0,0,,,,0.0,0.0,60,16.8,1005,8,0,
46,Mewelde Moore,23,MIN,RB,16,8,49,37,339,9.2,2,17,51.0,29,2.3,21.2,75.5,6.9,155,662,1,33,40.0,33,4.3,41.4,9.7,192,5.2,1001,3,2,
47,Deion Branch,26,NWE,WR,16,15,125,78,998,12.8,5,53,56.0,51,4.9,62.4,62.4,8.0,0,0,0,0,,,,0.0,0.0,78,12.8,998,5,0,
48,Hines Ward,29,PIT,WR,15,15,114,69,975,14.1,11,52,57.9,85,4.6,65.0,60.5,8.6,3,10,0,1,66.7,7,3.3,0.7,0.2,72,13.7,985,11,1,
49,Donte' Stallworth,25,NOR,WR,16,13,129,70,945,13.5,7,51,47.3,43,4.4,59.1,54.3,7.3,2,2,0,0,0.0,3,1.0,0.1,0.1,72,13.2,947,7,1,
50,Jerry Porter,27,OAK,WR,16,14,142,76,942,12.4,5,44,47.2,49,4.8,58.9,53.5,6.6,1,-8,0,0,0.0,-8,-8.0,-0.5,0.1,77,12.1,934,5,1,
51,Keenan McCardell,35,SDG,WR,16,16,107,70,917,13.1,9,50,58.9,54,4.4,57.3,65.4,8.6,2,6,0,0,0.0,3,3.0,0.4,0.1,72,12.8,923,9,0,
52,Corey Dillon,31,NWE,RB,12,10,26,22,181,8.2,1,8,57.7,25,1.8,15.1,84.6,7.0,209,733,12,51,47.4,29,3.5,61.1,17.4,231,4.0,914,13,1,
53,Tony Gonzalez,29,KAN,TE,16,16,116,78,905,11.6,2,45,51.7,39,4.9,56.6,67.2,7.8,0,0,0,0,,,,0.0,0.0,78,11.6,905,2,0,PB
54,Jeremy Shockey,25,NYG,TE,15,15,122,65,891,13.7,7,47,47.5,59,4.3,59.4,53.3,7.3,0,0,0,0,,,,0.0,0.0,65,13.7,891,7,0,PB
55,Alge Crumpler,28,ATL,TE,16,16,118,65,877,13.5,5,42,44.1,48,4.1,54.8,55.1,7.4,0,0,0,0,,,,0.0,0.0,65,13.5,877,5,1,PB
56,Fred Taylor,29,JAX,RB,11,11,18,13,83,6.4,0,4,44.4,13,1.2,7.5,72.2,4.6,194,787,3,29,37.6,71,4.1,71.5,17.6,207,4.2,870,3,0,
57,Todd Heap,25,BAL,TE,16,16,114,75,855,11.4,7,45,49.1,48,4.7,53.4,65.8,7.5,0,0,0,0,,,,0.0,0.0,75,11.4,855,7,2,
58,Ashley Lelie,25,DEN,WR,16,13,90,42,770,18.3,1,29,43.3,56,2.6,48.1,46.7,8.6,5,84,0,5,100.0,39,16.8,5.3,0.3,47,18.2,854,1,0,
59,Curtis Martin,32,NYJ,RB,12,12,30,24,118,4.9,0,3,36.7,14,2.0,9.8,80.0,3.9,220,735,5,37,40.0,49,3.3,61.3,18.3,244,3.5,853,5,2,
60,Laveranues Coles,28,NYJ,WR,16,16,132,73,845,11.6,5,53,47.7,43,4.6,52.8,55.3,6.4,0,0,0,0,,,,0.0,0.0,73,11.6,845,5,1,
61,Keyshawn Johnson,33,DAL,WR,16,14,123,71,839,11.8,6,47,50.4,34,4.4,52.4,57.7,6.8,1,3,0,0,0.0,3,3.0,0.2,0.1,72,11.7,842,6,3,
62,Ricky Williams,28,MIA,RB,12,3,20,17,93,5.5,0,3,45.0,19,1.4,7.8,85.0,4.7,168,743,6,39,45.8,35,4.4,61.9,14.0,185,4.5,836,6,1,AP CPoY-5
63,Kevan Barlow,26,SFO,RB,12,12,42,31,241,7.8,0,7,31.0,24,2.6,20.1,73.8,5.7,176,581,3,20,27.8,29,3.3,48.4,14.7,207,4.0,822,3,2,
64,Eric Moulds,32,BUF,WR,15,15,128,81,816,10.1,4,39,50.0,55,5.4,54.4,63.3,6.4,0,0,0,0,,,,0.0,0.0,81,10.1,816,4,0,
65,Kevin Curtis,27,STL,WR,16,9,97,60,801,13.4,6,35,52.6,83,3.8,50.1,61.9,8.3,1,5,1,1,100.0,5,5.0,0.3,0.1,61,13.2,806,7,2,
66,Lee Evans,24,BUF,WR,16,15,91,48,743,15.5,7,29,45.1,65,3.0,46.4,52.7,8.2,4,38,0,2,50.0,39,9.5,2.4,0.3,52,15.0,781,7,0,
67,Eric Parker,26,SDG,WR,15,9,80,57,725,12.7,3,36,62.5,49,3.8,48.3,71.3,9.1,4,55,0,3,75.0,30,13.8,3.7,0.3,61,12.8,780,3,2,
68,Chester Taylor,26,BAL,RB,15,1,52,41,292,7.1,1,13,38.5,20,2.7,19.5,78.8,5.6,117,487,0,30,41.9,52,4.2,32.5,7.8,158,4.9,779,1,3,
69,Bobby Engram,32,SEA,WR,13,13,98,67,778,11.6,3,43,61.2,56,5.2,59.8,68.4,7.9,0,0,0,0,,,,0.0,0.0,67,11.6,778,3,2,
70,Chris Cooley,23,WAS,TE,16,16,103,71,774,10.9,7,44,58.3,32,4.4,48.4,68.9,7.5,0,0,0,0,,,,0.0,0.0,71,10.9,774,7,3,
71,Kevin Jones,23,DET,RB,13,13,28,20,109,5.5,0,3,32.1,28,1.5,8.4,71.4,3.9,186,664,5,29,41.4,40,3.6,51.1,14.3,206,3.8,773,5,2,
72,Terrell Owens,32,PHI,WR,7,7,92,47,763,16.2,6,32,45.7,91,6.7,109.0,51.1,8.3,1,2,0,0,0.0,2,2.0,0.3,0.1,48,15.9,765,6,0,
73,Jason Witten,23,DAL,TE,16,16,88,66,757,11.5,6,41,61.4,34,4.1,47.3,75.0,8.6,0,0,0,0,,,,0.0,0.0,66,11.5,757,6,0,PB
74,David Givens,25,NWE,WR,13,10,96,59,738,12.5,2,33,52.1,40,4.5,56.8,61.5,7.7,2,13,0,0,50.0,9,6.5,1.0,0.2,61,12.3,751,2,0,
75,Muhsin Muhammad,32,CHI,WR,15,15,136,64,750,11.7,4,38,43.4,33,4.3,50.0,47.1,5.5,0,0,0,0,,,,0.0,0.0,64,11.7,750,4,0,
