,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Brian Westbrook,28,PHI,RB,15,15,118,90,771,8.6,5,32,50.0,57,6.0,51.4,76.3,6.5,278,1333,7,74,51.1,36,4.8,88.9,18.5,368,5.7,2104,12,2,"PB,AP-1"
2,LaDainian Tomlinson,28,SDG,RB,16,16,86,60,475,7.9,3,20,38.4,36,3.8,29.7,69.8,5.5,315,1474,15,75,44.1,49,4.7,92.1,19.7,375,5.2,1949,18,0,"PB,AP-1"
3,Clinton Portis,26,WAS,RB,16,16,60,47,389,8.3,0,19,50.0,54,2.9,24.3,78.3,6.5,325,1262,11,61,45.2,32,3.9,78.9,20.3,372,4.4,1651,11,6,
4,Adrian Peterson,22,MIN,RB,14,9,28,19,268,14.1,1,14,57.1,60,1.4,19.1,67.9,9.6,238,1341,12,63,45.0,73,5.6,95.8,17.0,257,6.3,1609,13,4,"PB,AP-2,AP ORoY-1"
5,Jamal Lewis,28,CLE,RB,15,15,39,30,248,8.3,2,8,53.8,34,2.0,16.5,76.9,6.4,298,1304,9,59,42.6,66,4.4,86.9,19.9,328,4.7,1552,11,4,AP CPoY-4
6,Frank Gore,24,SFO,RB,15,15,69,53,436,8.2,1,20,55.1,23,3.5,29.1,76.8,6.3,260,1102,5,42,41.5,43,4.2,73.5,17.3,313,4.9,1538,6,4,
7,Reggie Wayne,29,IND,WR,16,16,156,104,1510,14.5,10,72,61.5,64,6.5,94.4,66.7,9.7,1,4,0,0,100.0,4,4.0,0.3,0.1,105,14.4,1514,10,3,"PB,AP-2"
8,Randy Moss,30,NWE,WR,16,16,160,98,1493,15.2,23,74,58.8,65,6.1,93.3,61.3,9.3,0,0,0,0,,,,0.0,0.0,98,15.2,1493,23,0,"PB,AP-1,AP OPoY-2,AP CPoY-2"
9,Chad Johnson,29,CIN,WR,16,16,161,93,1440,15.5,8,74,55.3,70,5.8,90.0,57.8,8.9,6,47,0,2,66.7,16,7.8,2.9,0.4,99,15.0,1487,8,2,PB
10,Willie Parker,27,PIT,RB,15,15,31,23,164,7.1,0,7,48.4,22,1.5,10.9,74.2,5.3,321,1316,2,48,39.9,32,4.1,87.7,21.4,344,4.3,1480,2,4,PB
11,Willis McGahee,26,BAL,RB,15,15,49,43,231,5.4,1,10,44.9,30,2.9,15.4,87.8,4.7,294,1207,7,57,41.5,46,4.1,80.5,19.6,337,4.3,1438,8,4,PB
12,Joseph Addai,24,IND,RB,15,15,48,41,364,8.9,3,16,58.3,73,2.7,24.3,85.4,7.6,261,1072,12,66,51.3,23,4.1,71.5,17.4,302,4.8,1436,15,0,PB
13,Edgerrin James,29,ARI,RB,16,16,39,24,204,8.5,0,9,43.6,26,1.5,12.8,61.5,5.2,324,1222,7,57,44.8,27,3.8,76.4,20.3,348,4.1,1426,7,5,
14,Larry Fitzgerald,24,ARI,WR,15,15,167,100,1409,14.1,10,70,55.1,48,6.7,93.9,59.9,8.4,0,0,0,0,,,,0.0,0.0,100,14.1,1409,10,3,PB
