,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,David Johnson,25,ARI,RB,16,16,120,80,879,11.0,4,42,48.3,58,5.0,54.9,66.7,7.3,293,1239,16,73,48.8,58,4.2,77.4,18.3,373,5.7,2118,20,5,"PB,AP-1,AP OPoY-3"
2,Ezekiel Elliott,21,DAL,RB,15,15,39,32,363,11.3,1,11,48.7,83,2.1,24.2,82.1,9.3,322,1631,15,95,55.3,60,5.1,108.7,21.5,354,5.6,1994,16,5,"PB,AP-1,AP MVP-3,AP OPoY-5,AP ORoY-2"
3,Le'Veon Bell,24,PIT,RB,12,12,94,75,616,8.2,2,32,58.5,32,6.3,51.3,79.8,6.6,261,1268,7,70,53.3,44,4.9,105.7,21.8,336,5.6,1884,9,4,"PB,AP-2,AP OPoY-6,AP CPoY-4"
4,DeMarco Murray,28,TEN,RB,16,16,67,53,377,7.1,3,20,34.3,35,3.3,23.6,79.1,5.6,293,1287,9,67,50.2,75,4.4,80.4,18.3,346,4.8,1664,12,3,PB
5,LeSean McCoy,28,BUF,RB,15,15,57,50,356,7.1,1,17,54.4,41,3.3,23.7,87.7,6.2,234,1267,13,56,49.6,75,5.4,84.5,15.6,284,5.7,1623,14,3,PB
6,Jordan Howard,22,CHI,RB,15,13,50,29,298,10.3,1,12,44.0,34,1.9,19.9,58.0,6.0,252,1313,6,73,48.8,69,5.2,87.5,16.8,281,5.7,1611,7,2,PB
7,Devonta Freeman,24,ATL,RB,16,16,65,54,462,8.6,2,22,56.9,35,3.4,28.9,83.1,7.1,227,1079,11,66,49.3,75,4.8,67.4,14.2,281,5.5,1541,13,1,PB
8,T.Y. Hilton,27,IND,WR,16,16,155,91,1448,15.9,6,66,54.2,63,5.7,90.5,58.7,9.3,0,0,0,0,,,,0.0,0.0,91,15.9,1448,6,0,PB
9,Jay Ajayi,23,MIA,RB,15,12,35,27,151,5.6,0,8,45.7,15,1.8,10.1,77.1,4.3,260,1272,8,63,42.7,62,4.9,84.8,17.3,287,5.0,1423,8,4,PB
10,Melvin Gordon,23,SDG,RB,13,11,57,41,419,10.2,2,21,57.9,35,3.2,32.2,71.9,7.4,254,997,10,62,42.9,48,3.9,76.7,19.5,295,4.8,1416,12,2,PB
11,Julio Jones,27,ATL,WR,14,14,129,83,1409,17.0,6,64,58.9,75,5.9,100.6,64.3,10.9,0,0,0,0,,,,0.0,0.0,83,17.0,1409,6,0,"PB,AP-1"
12,Odell Beckham Jr.,24,NYG,WR,16,16,169,101,1367,13.5,10,66,49.7,75,6.3,85.4,59.8,8.1,1,9,0,0,100.0,9,9.0,0.6,0.1,102,13.5,1376,10,3,"PB,AP-2"
13,Spencer Ware,25,KAN,RB,14,14,42,33,447,13.5,2,17,57.1,46,2.4,31.9,78.6,10.6,214,921,3,50,50.5,46,4.3,65.8,15.3,247,5.5,1368,5,4,
14,Mark Ingram,27,NOR,RB,16,14,58,46,319,6.9,4,18,53.4,22,2.9,19.9,79.3,5.5,205,1043,6,50,57.1,75,5.1,65.2,12.8,251,5.4,1362,10,2,
15,Mike Evans,23,TAM,WR,16,16,173,96,1321,13.8,12,82,53.2,45,6.0,82.6,55.5,7.6,0,0,0,0,,,,0.0,0.0,96,13.8,1321,12,0,"PB,AP-2"
16,Frank Gore,33,IND,RB,16,16,47,38,277,7.3,4,14,53.2,49,2.4,17.3,80.9,5.9,263,1025,4,50,47.9,22,3.9,64.1,16.4,301,4.3,1302,8,2,
17,Antonio Brown,28,PIT,WR,15,15,154,106,1284,12.1,12,64,51.3,51,7.1,85.6,68.8,8.3,3,9,0,1,66.7,13,3.0,0.6,0.2,109,11.9,1293,12,0,"PB,AP-1"
18,Isaiah Crowell,23,CLE,RB,16,16,53,40,319,8.0,0,14,49.1,44,2.5,19.9,75.5,6.0,198,952,7,45,40.4,85,4.8,59.5,12.4,238,5.3,1271,7,2,
19,Lamar Miller,25,HOU,RB,14,14,39,31,188,6.1,1,9,56.4,16,2.2,13.4,79.5,4.8,268,1073,5,55,42.9,45,4.0,76.6,19.1,299,4.2,1261,6,2,
20,Jordy Nelson,31,GNB,WR,16,16,152,97,1257,13.0,14,62,59.2,60,6.1,78.6,63.8,8.3,0,0,0,0,,,,0.0,0.0,97,13.0,1257,14,1,AP CPoY-1
21,Todd Gurley,22,LAR,RB,16,16,58,43,327,7.6,0,16,39.7,33,2.7,20.4,74.1,5.6,278,885,6,49,40.3,24,3.2,55.3,17.4,321,3.8,1212,6,2,
22,Brandin Cooks,23,NOR,WR,16,12,117,78,1173,15.0,8,46,52.1,98,4.9,73.3,66.7,10.0,6,30,0,1,66.7,11,5.0,1.9,0.4,84,14.3,1203,8,1,
23,LeGarrette Blount,30,NWE,RB,16,8,8,7,38,5.4,0,1,50.0,16,0.4,2.4,87.5,4.8,299,1161,18,68,42.5,44,3.9,72.6,18.7,306,3.9,1199,18,2,
24,Julian Edelman,30,NWE,WR,16,13,159,98,1106,11.3,3,56,52.2,77,6.1,69.1,61.6,7.0,12,57,0,3,66.7,9,4.8,3.6,0.8,110,10.6,1163,3,3,
25,Amari Cooper,22,OAK,WR,16,14,132,83,1153,13.9,5,49,46.2,64,5.2,72.1,62.9,8.7,1,0,0,0,0.0,,0.0,0.0,0.1,84,13.7,1153,5,2,PB
26,Jarvis Landry,24,MIA,WR,16,16,131,94,1136,12.1,4,53,53.4,71,5.9,71.0,71.8,8.7,5,17,0,1,20.0,13,3.4,1.1,0.3,99,11.6,1153,4,2,PB
27,Carlos Hyde,26,SFO,RB,13,13,33,27,163,6.0,3,7,48.5,19,2.1,12.5,81.8,4.9,217,988,6,48,47.5,47,4.6,76.0,16.7,244,4.7,1151,9,5,
28,Michael Thomas,23,NOR,WR,15,12,121,92,1137,12.4,9,62,67.8,46,6.1,75.8,76.0,9.4,0,0,0,0,,,,0.0,0.0,92,12.4,1137,9,2,
29,Doug Baldwin,28,SEA,WR,16,15,125,94,1128,12.0,7,51,58.4,59,5.9,70.5,75.2,9.0,3,2,0,0,33.3,4,0.7,0.1,0.2,97,11.6,1130,7,1,PB
30,Travis Kelce,27,KAN,TE,16,15,117,85,1125,13.2,4,55,63.2,80,5.3,70.3,72.6,9.6,1,-5,0,0,0.0,-5,-5.0,-0.3,0.1,86,13.0,1120,4,0,"PB,AP-1"
31,Bilal Powell,28,NYJ,RB,16,4,74,58,388,6.7,2,21,43.2,22,3.6,24.3,78.4,5.2,131,722,3,44,55.0,35,5.5,45.1,8.2,189,5.9,1110,5,1,
32,Demaryius Thomas,29,DEN,WR,16,16,144,90,1083,12.0,5,50,52.8,55,5.6,67.7,62.5,7.5,0,0,0,0,,,,0.0,0.0,90,12.0,1083,5,2,PB
33,Golden Tate,28,DET,WR,16,16,135,91,1077,11.8,4,47,49.6,67,5.7,67.3,67.4,8.0,10,4,0,1,20.0,11,0.4,0.3,0.6,101,10.7,1081,4,2,
34,Matt Forte,31,NYJ,RB,14,13,43,30,263,8.8,1,10,48.8,40,2.1,18.8,69.8,6.1,218,813,7,36,40.4,32,3.7,58.1,15.6,248,4.3,1076,8,1,
35,Greg Olsen,31,CAR,TE,16,16,129,80,1073,13.4,3,54,57.4,78,5.0,67.1,62.0,8.3,0,0,0,0,,,,0.0,0.0,80,13.4,1073,3,0,"PB,AP-2"
36,Tyrell Williams,24,SDG,WR,16,12,119,69,1059,15.3,7,48,48.7,51,4.3,66.2,58.0,8.9,0,0,0,0,,,,0.0,0.0,69,15.3,1059,7,0,
37,Latavius Murray,26,OAK,RB,14,12,43,33,264,8.0,0,11,48.8,39,2.4,18.9,76.7,6.1,195,788,12,52,47.7,42,4.0,56.3,13.9,228,4.6,1052,12,2,
38,Mike Wallace,30,BAL,WR,16,16,116,72,1017,14.1,4,43,49.1,95,4.5,63.6,62.1,8.8,5,31,0,2,60.0,13,6.2,1.9,0.3,77,13.6,1048,4,1,
39,Pierre Garcon,30,WAS,WR,16,16,114,79,1041,13.2,3,53,60.5,70,4.9,65.1,69.3,9.1,0,0,0,0,,,,0.0,0.0,79,13.2,1041,3,0,
40,Emmanuel Sanders,29,DEN,WR,16,16,137,79,1032,13.1,5,50,51.1,64,4.9,64.5,57.7,7.5,1,4,0,0,100.0,4,4.0,0.3,0.1,80,13.0,1036,5,1,PB
41,Larry Fitzgerald,33,ARI,WR,16,16,150,107,1023,9.6,6,60,58.0,33,6.7,63.9,71.3,6.8,2,5,0,0,50.0,4,2.5,0.3,0.1,109,9.4,1028,6,2,PB
42,Terrelle Pryor,27,CLE,WR,16,15,140,77,1007,13.1,4,50,49.3,54,4.8,62.9,55.0,7.2,8,21,1,3,37.5,15,2.6,1.3,0.5,85,12.1,1028,5,1,
43,Jeremy Hill,24,CIN,RB,15,13,27,21,174,8.3,0,6,59.3,25,1.4,11.6,77.8,6.4,222,839,9,46,43.7,74,3.8,55.9,14.8,243,4.2,1013,9,0,
44,Terrance West,25,BAL,RB,16,13,45,34,236,6.9,1,11,53.3,17,2.1,14.8,75.6,5.2,193,774,5,38,41.5,41,4.0,48.4,12.1,227,4.4,1010,6,2,
45,DeSean Jackson,30,WAS,WR,15,15,100,56,1005,17.9,4,35,48.0,80,3.7,67.0,56.0,10.1,0,0,0,0,,,,0.0,0.0,56,17.9,1005,4,0,
46,Michael Crabtree,29,OAK,WR,16,16,145,89,1003,11.3,8,56,52.4,56,5.6,62.7,61.4,6.9,0,0,0,0,,,,0.0,0.0,89,11.3,1003,8,2,
47,Kenny Britt,28,LAR,WR,15,15,111,68,1002,14.7,5,47,51.4,66,4.5,66.8,61.3,9.0,0,0,0,0,,,,0.0,0.0,68,14.7,1002,5,2,
48,Davante Adams,24,GNB,WR,16,15,121,75,997,13.3,12,46,48.8,66,4.7,62.3,62.0,8.2,0,0,0,0,,,,0.0,0.0,75,13.3,997,12,2,
49,Adam Thielen,26,MIN,WR,16,10,92,69,967,14.0,5,44,60.9,71,4.3,60.4,75.0,10.5,2,15,0,1,100.0,11,7.5,0.9,0.1,71,13.8,982,5,2,
50,A.J. Green,28,CIN,WR,10,10,100,66,964,14.6,4,42,54.0,54,6.6,96.4,66.0,9.6,0,0,0,0,,,,0.0,0.0,66,14.6,964,4,0,PB
51,DeAndre Hopkins,24,HOU,WR,16,16,151,78,954,12.2,4,57,47.0,51,4.9,59.6,51.7,6.3,0,0,0,0,,,,0.0,0.0,78,12.2,954,4,0,
52,Rishard Matthews,27,TEN,WR,16,9,108,65,945,14.5,9,43,55.6,60,4.1,59.1,60.2,8.8,0,0,0,0,,,,0.0,0.0,65,14.5,945,9,1,
53,Kelvin Benjamin,25,CAR,WR,16,13,118,63,941,14.9,7,50,49.2,50,3.9,58.8,53.4,8.0,0,0,0,0,,,,0.0,0.0,63,14.9,941,7,1,
54,Tevin Coleman,23,ATL,RB,13,0,40,31,421,13.6,3,16,45.0,49,2.4,32.4,77.5,10.5,118,520,8,25,43.2,55,4.4,40.0,9.1,149,6.3,941,11,1,
55,Marvin Jones,26,DET,WR,15,15,103,55,930,16.9,4,41,47.6,73,3.7,62.0,53.4,9.0,1,3,0,0,0.0,3,3.0,0.2,0.1,56,16.7,933,4,0,
56,Jimmy Graham,30,SEA,TE,16,15,95,65,923,14.2,6,45,58.9,42,4.1,57.7,68.4,9.7,1,0,0,0,0.0,,0.0,0.0,0.1,66,14.0,923,6,2,PB
