,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Ray Rice,24,BAL,RB,16,16,104,76,704,9.3,3,30,46.2,52,4.8,44.0,73.1,6.8,291,1364,12,54,43.0,70,4.7,85.3,18.2,367,5.6,2068,15,2,"PB,AP-2"
2,Maurice Jones-Drew,26,JAX,RB,16,16,64,43,374,8.7,3,18,43.8,48,2.7,23.4,67.2,5.8,343,1606,8,76,48.1,56,4.7,100.4,21.4,386,5.1,1980,11,6,"PB,AP-1"
3,Arian Foster,25,HOU,RB,13,13,72,53,617,11.6,2,19,43.1,78,4.1,47.5,73.6,8.6,278,1224,10,58,42.4,43,4.4,94.2,21.4,331,5.6,1841,12,5,"PB,AP-2"
4,Calvin Johnson,26,DET,WR,16,16,158,96,1681,17.5,16,76,57.0,73,6.0,105.1,60.8,10.6,1,11,0,0,100.0,11,11.0,0.7,0.1,97,17.4,1692,16,1,"PB,AP-1"
5,LeSean McCoy,23,PHI,RB,15,15,69,48,315,6.6,3,18,44.9,26,3.2,21.0,69.6,4.6,273,1309,17,85,50.9,60,4.8,87.3,18.2,321,5.1,1624,20,1,"PB,AP-1"
6,Wes Welker,30,NWE,WR,16,15,173,122,1569,12.9,9,77,65.9,99,7.6,98.1,70.5,9.1,4,30,0,2,75.0,19,7.5,1.9,0.3,126,12.7,1599,9,1,"PB,AP-1"
7,Ryan Mathews,24,SDG,RB,14,14,59,50,455,9.1,0,18,61.0,42,3.6,32.5,84.7,7.7,222,1091,6,51,45.5,39,4.9,77.9,15.9,272,5.7,1546,6,5,PB
8,Victor Cruz,25,NYG,WR,16,7,131,82,1536,18.7,9,59,56.5,99,5.1,96.0,62.6,11.7,1,3,0,0,0.0,3,3.0,0.2,0.1,83,18.5,1539,9,1,AP-2
9,Michael Turner,29,ATL,RB,16,15,26,17,168,9.9,0,8,53.8,32,1.1,10.5,65.4,6.5,301,1340,11,63,44.5,81,4.5,83.8,18.8,318,4.7,1508,11,3,
10,Matt Forte,26,CHI,RB,12,12,76,52,490,9.4,1,20,38.2,56,4.3,40.8,68.4,6.4,203,997,3,41,43.8,46,4.9,83.1,16.9,255,5.8,1487,4,2,PB
11,Steven Jackson,28,STL,RB,15,15,58,42,333,7.9,1,17,48.3,50,2.8,22.2,72.4,5.7,260,1145,5,51,38.5,47,4.4,76.3,17.3,302,4.9,1478,6,2,
12,Chris Johnson,26,TEN,RB,16,16,79,57,418,7.3,0,14,36.7,34,3.6,26.1,72.2,5.3,262,1047,4,47,39.7,48,4.0,65.4,16.4,319,4.6,1465,4,3,
13,Steve Smith Sr.,32,CAR,WR,16,16,129,79,1394,17.6,7,53,51.2,77,4.9,87.1,61.2,10.8,6,56,0,3,83.3,23,9.3,3.5,0.4,85,17.1,1450,7,3,"PB,AP CPoY-4"
14,Marshawn Lynch,25,SEA,RB,15,15,41,28,212,7.6,1,8,36.6,26,1.9,14.1,68.3,5.2,285,1204,12,65,43.5,47,4.2,80.3,19.0,313,4.5,1416,13,3,PB
15,Larry Fitzgerald,28,ARI,WR,16,16,154,80,1411,17.6,8,60,48.1,73,5.0,88.2,51.9,9.2,0,0,0,0,,,,0.0,0.0,80,17.6,1411,8,0,"PB,AP-2"
16,Michael Bush,27,OAK,RB,16,9,47,37,418,11.3,1,14,55.3,55,2.3,26.1,78.7,8.9,256,977,7,56,43.4,44,3.8,61.1,16.0,293,4.8,1395,8,1,
17,Reggie Bush,26,MIA,RB,15,15,52,43,296,6.9,1,12,38.5,34,2.9,19.7,82.7,5.7,216,1086,6,41,43.5,76,5.0,72.4,14.4,259,5.3,1382,7,4,
