,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Steven Jackson,23,STL,RB,16,16,110,90,806,9.0,3,32,51.8,64,5.6,50.4,81.8,7.3,346,1528,13,73,46.5,59,4.4,95.5,21.6,436,5.4,2334,16,4,"PB,AP-2,AP OPoY-4"
2,LaDainian Tomlinson,27,SDG,RB,16,16,80,56,508,9.1,3,23,48.8,51,3.5,31.8,70.0,6.4,348,1815,28,83,47.7,85,5.2,113.4,21.8,404,5.8,2323,31,2,"PB,AP-1,AP MVP-1,AP OPoY-1"
3,Larry Johnson,27,KAN,RB,16,16,66,41,410,10.0,2,21,37.9,78,2.6,25.6,62.1,6.2,416,1789,17,91,44.7,47,4.3,111.8,26.0,457,4.8,2199,19,2,"PB,AP-1"
4,Frank Gore,23,SFO,RB,16,16,86,61,485,8.0,1,23,48.8,39,3.8,30.3,70.9,5.6,312,1695,8,67,46.5,72,5.4,105.9,19.5,373,5.8,2180,9,6,"PB,AP-2"
5,Tiki Barber,31,NYG,RB,16,16,75,58,465,8.0,0,24,53.3,28,3.6,29.1,77.3,6.2,327,1662,5,79,47.1,55,5.1,103.9,20.4,385,5.5,2127,5,3,PB
6,Brian Westbrook,27,PHI,RB,15,14,105,77,699,9.1,4,30,53.3,52,5.1,46.6,73.3,6.7,240,1217,7,60,47.5,71,5.1,81.1,16.0,317,6.0,1916,11,2,
7,Willie Parker,26,PIT,RB,16,16,42,31,222,7.2,3,12,35.7,25,1.9,13.9,73.8,5.3,337,1494,13,72,44.5,76,4.4,93.4,21.1,368,4.7,1716,16,7,PB
8,Ladell Betts,27,WAS,RB,16,9,64,53,445,8.4,1,22,43.8,34,3.3,27.8,82.8,7.0,245,1154,4,60,46.5,26,4.7,72.1,15.3,298,5.4,1599,5,6,
9,Chester Taylor,27,MIN,RB,15,15,51,42,288,6.9,0,17,51.0,24,2.8,19.2,82.4,5.6,303,1216,6,54,43.6,95,4.0,81.1,20.2,345,4.4,1504,6,5,
10,Rudi Johnson,27,CIN,RB,16,15,31,23,124,5.4,0,5,48.4,18,1.4,7.8,74.2,4.0,341,1309,12,70,42.5,22,3.8,81.8,21.3,364,3.9,1433,12,6,
11,Ahman Green,29,GNB,RB,14,14,63,46,373,8.1,1,14,42.9,20,3.3,26.6,73.0,5.9,266,1059,5,55,40.6,70,4.0,75.6,19.0,312,4.6,1432,6,4,
12,Joseph Addai,23,IND,RB,16,0,50,40,325,8.1,1,20,62.0,21,2.5,20.3,80.0,6.5,226,1081,7,67,60.2,41,4.8,67.6,14.1,266,5.3,1406,8,2,
13,Chad Johnson,28,CIN,WR,16,16,152,87,1369,15.7,7,67,55.3,74,5.4,85.6,57.2,9.0,6,24,0,0,50.0,8,4.0,1.5,0.4,93,15.0,1393,7,1,"PB,AP-1"
14,Fred Taylor,30,JAX,RB,15,15,28,23,242,10.5,1,8,60.7,36,1.5,16.1,82.1,8.6,231,1146,5,47,42.9,76,5.0,76.4,15.4,254,5.5,1388,6,3,
15,Maurice Jones-Drew,21,JAX,RB,16,1,62,46,436,9.5,2,17,43.5,51,2.9,27.3,74.2,7.0,166,941,13,46,48.8,74,5.7,58.8,10.4,212,6.5,1377,15,1,AP ORoY-2
16,Edgerrin James,28,ARI,RB,16,16,61,38,217,5.7,0,10,39.3,14,2.4,13.6,62.3,3.6,337,1159,6,61,45.1,18,3.4,72.4,21.1,375,3.7,1376,6,3,
17,Marvin Harrison,34,IND,WR,16,16,148,95,1366,14.4,12,78,60.1,68,5.9,85.4,64.2,9.2,0,0,0,0,,,,0.0,0.0,95,14.4,1366,12,1,"PB,AP-1"
18,Thomas Jones,28,CHI,RB,16,16,47,36,154,4.3,0,6,31.9,21,2.3,9.6,76.6,3.3,296,1210,6,63,47.3,30,4.1,75.6,18.5,332,4.1,1364,6,1,
19,Roy Williams,25,DET,WR,16,16,151,82,1310,16.0,7,66,51.7,60,5.1,81.9,54.3,8.7,2,2,0,0,0.0,2,1.0,0.1,0.1,84,15.6,1312,7,2,PB
20,Donald Driver,31,GNB,WR,16,16,173,92,1295,14.1,8,54,48.0,82,5.8,80.9,53.2,7.5,7,16,0,2,42.9,16,2.3,1.0,0.4,99,13.2,1311,8,1,PB
21,Warrick Dunn,31,ATL,RB,16,16,28,22,170,7.7,1,10,50.0,18,1.4,10.6,78.6,6.1,286,1140,4,48,38.8,90,4.0,71.3,17.9,308,4.3,1310,5,1,
22,Reggie Wayne,28,IND,WR,16,16,137,86,1310,15.2,9,72,60.6,51,5.4,81.9,62.8,9.6,0,0,0,0,,,,0.0,0.0,86,15.2,1310,9,1,PB
